Gender,Age,EstimatedSalary
1,22,65000
0,35,27000
0,54,101000
0,33,63000
0,27,50000
0,60,112000
0,45,42000
0,49,30000
0,26,91000
1,29,27000
1,27,137000
1,21,117000
0,40,113000
0,47,113000
0,25,69000
1,40,19000
1,50,32000
1,31,106000
0,53,64000
0,24,18000
0,30,25000
0,24,23000
0,32,88000
1,35,28000
0,51,18000
0,41,91000
1,44,32000
0,38,25000
1,49,77000
1,44,31000
1,33,89000
1,31,21000
0,35,123000
0,46,62000
0,50,120000
1,51,21000
0,49,122000
0,44,136000
0,32,76000
0,44,95000
1,28,87000
0,44,24000
0,38,71000
1,54,66000
0,57,66000
0,37,30000
0,51,87000
0,39,65000
0,58,69000
1,47,119000
1,41,83000
0,41,54000
0,33,115000
0,39,102000
1,29,17000
1,52,56000
0,28,33000
0,45,63000
1,40,49000
0,54,45000
0,53,77000
0,30,71000
0,41,87000
0,47,83000
0,35,144000
0,32,25000
0,34,83000
0,52,70000
0,40,67000
0,28,31000
0,23,83000
0,48,67000
0,28,53000
0,19,48000
1,45,71000
0,41,109000
0,36,69000
0,32,42000
0,53,35000
0,31,30000
0,26,35000
0,52,15000
0,36,39000
0,35,41000
0,27,40000
0,52,96000
1,31,67000
0,34,60000
0,29,101000
0,48,35000
0,46,29000
1,28,27000
0,26,26000
0,35,51000
0,26,61000
0,25,51000
0,30,27000
1,25,121000
0,27,113000
0,28,15000
0,26,74000
0,32,34000
0,31,141000
0,43,99000
1,44,137000
1,35,15000
0,45,41000
0,34,59000
0,27,28000
1,29,72000
0,33,60000
0,29,84000
0,48,135000
0,43,40000
0,28,27000
0,26,58000
0,51,40000
1,45,39000
0,43,46000
0,31,17000
1,48,64000
1,30,99000
0,47,32000
0,31,64000
1,31,30000
1,41,20000
1,37,132000
0,60,110000
0,23,106000
0,56,109000
0,37,31000
0,39,72000
0,57,94000
0,32,34000
1,35,116000
0,30,15000
0,41,39000
1,51,78000
0,26,68000
0,51,114000
0,25,48000
0,27,32000
0,34,98000
0,29,31000
1,42,34000
0,28,122000
1,39,37000
0,31,53000
1,40,98000
0,40,113000
0,29,23000
0,48,88000
0,28,95000
1,24,104000
0,28,31000
1,38,94000
1,26,37000
0,48,95000
0,29,34000
0,36,35000
0,33,79000
0,30,58000
1,40,111000
1,34,115000
0,26,27000
0,31,63000
0,35,25000
0,29,117000
0,20,73000
0,46,68000
1,36,60000
0,29,69000
1,39,97000
0,21,28000
1,35,113000
1,27,88000
0,29,30000
0,32,25000
0,32,101000
0,33,15000
0,33,66000
0,32,27000
0,33,63000
0,37,43000
0,21,28000
0,46,99000
1,36,20000
1,48,104000
0,32,118000
0,29,35000
0,30,67000
0,22,15000
0,59,20000
0,26,73000
0,53,104000
0,32,104000
0,39,117000
1,28,103000
1,23,66000
0,30,86000
1,44,80000
0,47,38000
0,19,87000
1,32,124000
0,55,15000
1,33,31000
0,28,26000
0,36,61000
0,39,79000
0,27,16000
1,29,75000
0,29,74000
0,51,63000
1,55,15000
1,58,45000
0,53,92000
1,48,26000
1,43,108000
0,28,58000
0,30,126000
0,20,32000
1,36,64000
0,32,63000
0,18,15000
0,51,23000
0,25,44000
1,49,15000
0,21,31000
1,31,15000
0,38,15000
0,27,74000
0,23,28000
0,28,80000
0,45,35000
0,50,26000
0,43,31000
0,29,97000
0,39,65000
0,30,109000
1,26,52000
0,52,24000
0,31,126000
1,40,80000
0,22,101000
0,41,50000
0,28,77000
0,30,59000
0,23,126000
0,27,99000
1,50,107000
0,32,72000
0,49,20000
0,30,37000
1,30,27000
0,38,15000
0,24,64000
0,48,25000
0,54,15000
0,34,49000
1,42,83000
0,45,15000
0,18,28000
0,41,33000
1,30,29000
0,28,66000
1,39,76000
0,33,19000
0,48,63000
0,25,29000
0,32,67000
1,38,96000
0,28,62000
1,18,99000
0,45,39000
1,23,102000
0,32,33000
1,45,25000
0,36,72000
0,49,44000
