Gender,Age,EstimatedSalary
0,54,136000
1,48,71000
0,34,74000
0,42,41000
1,46,45000
1,32,55000
0,42,119000
0,35,40000
1,47,137000
0,35,65000
1,31,70000
0,32,70000
1,25,32000
1,26,117000
0,48,79000
0,33,31000
0,43,80000
0,46,96000
0,34,41000
0,44,109000
0,44,58000
0,28,143000
1,40,63000
1,46,47000
1,26,93000
0,58,41000
1,34,75000
0,35,63000
1,27,93000
0,34,107000
0,47,84000
0,40,40000
0,27,77000
0,37,97000
0,31,78000
0,25,83000
0,46,21000
0,41,94000
1,45,124000
0,50,30000
1,37,129000
0,43,85000
0,50,49000
0,38,135000
0,51,92000
0,46,77000
1,54,70000
0,29,101000
1,27,61000
0,53,123000
1,25,84000
0,41,128000
0,33,33000
0,31,106000
1,54,120000
0,29,50000
0,38,51000
0,55,97000
1,36,114000
0,33,107000
0,47,86000
0,35,118000
1,42,125000
0,36,19000
0,60,144000
0,41,103000
1,43,120000
1,35,61000
1,44,37000
0,38,122000
1,47,24000
0,51,85000
1,41,29000
1,24,92000
0,34,30000
1,52,131000
0,23,37000
0,42,47000
1,23,113000
0,28,121000
1,22,71000
1,47,90000
0,42,63000
0,40,83000
1,49,85000
0,35,37000
0,38,128000
0,34,92000
1,40,52000
0,52,91000
1,50,50000
1,29,149000
0,32,57000
0,44,51000
0,57,39000
0,34,132000
0,54,102000
1,34,139000
1,29,120000
1,40,38000
0,33,67000
1,26,83000
1,50,90000
1,27,35000
1,37,89000
0,25,108000
0,57,133000
0,51,43000
1,27,136000
0,27,75000
0,45,49000
1,46,66000
1,34,73000
0,51,136000
1,54,104000
0,35,138000
0,60,55000
0,55,58000
0,27,42000
1,37,113000
1,39,67000
0,32,78000
1,53,112000
0,41,145000
0,40,129000
0,46,148000
0,37,56000
0,44,116000
1,52,124000
0,35,34000
0,28,85000
1,26,67000
0,25,150000
1,43,85000
1,32,123000
1,60,112000
0,35,60000
0,54,23000
1,41,90000
1,39,112000
0,56,103000
0,34,51000
0,37,45000
1,56,134000
1,46,77000
1,27,68000
1,50,108000
0,50,148000
0,36,112000
0,33,136000
1,31,91000
0,53,85000
0,33,111000
0,48,77000
1,59,74000
0,50,82000
0,50,125000
1,44,87000
0,38,58000
1,27,58000
1,37,86000
1,34,103000
0,50,56000
0,46,144000
0,44,26000
1,25,92000
0,40,77000
0,32,31000
0,31,84000
1,31,53000
0,31,114000
1,53,27000
0,35,53000
0,25,85000
0,33,105000
0,47,89000
1,41,113000
0,27,41000
0,27,135000
0,28,35000
0,31,48000
1,51,36000
0,50,69000
1,31,67000
0,45,49000
1,36,122000
1,57,65000
1,37,138000
0,25,116000
0,36,94000
0,40,100000
1,29,55000
0,23,47000
0,55,32000
1,34,133000
0,42,103000
0,35,78000
1,60,56000
0,51,109000
0,37,54000
0,52,114000
1,38,95000
1,48,79000
0,19,121000
0,30,68000
1,26,72000
0,53,109000
0,53,44000
1,41,82000
1,38,33000
1,52,71000
0,47,127000
0,47,105000
0,47,71000
1,35,40000
0,52,81000
0,36,108000
1,36,44000
1,21,128000
0,44,67000
0,49,87000
0,31,36000
1,39,46000
0,32,89000
1,28,74000
1,24,52000
0,30,64000
0,40,120000
1,45,112000
0,34,71000
0,36,78000
1,32,72000
0,33,79000
1,20,76000
1,39,43000
0,43,86000
0,29,137000
0,29,70000
1,47,108000
1,33,117000
1,32,85000
0,42,76000
1,46,35000
0,39,42000
0,27,45000
1,22,86000
1,25,144000
1,46,122000
0,40,57000
0,45,140000
0,34,142000
1,39,112000
0,49,84000
1,44,68000
0,37,28000
0,28,60000
1,48,90000
1,39,91000
0,24,25000
0,46,102000
1,43,89000
1,49,76000
0,39,150000
0,32,72000
0,34,150000
0,46,150000
1,29,48000
0,27,78000
0,50,66000
1,48,134000
0,41,126000
1,43,66000
0,50,53000
0,52,76000
0,40,75000
1,40,36000
0,47,144000
1,26,85000
1,35,38000
