Gender,Age,EstimatedSalary
1,34,81000
1,60,68000
1,35,50000
0,39,72000
0,25,22000
0,38,61000
1,27,69000
1,52,100000
0,35,15000
1,36,41000
1,37,15000
1,53,47000
0,33,59000
1,45,62000
1,59,48000
1,44,136000
1,31,58000
0,41,81000
1,34,37000
0,41,99000
0,27,94000
1,32,20000
0,47,95000
0,30,104000
1,33,36000
0,29,52000
1,18,108000
0,29,79000
1,36,122000
1,31,110000
1,34,41000
1,25,70000
1,35,62000
1,31,51000
0,45,105000
0,39,17000
0,29,64000
0,36,46000
0,60,65000
1,33,116000
0,18,92000
0,28,55000
0,46,87000
0,38,50000
1,22,41000
1,50,111000
1,53,90000
0,24,19000
0,40,103000
1,33,111000
0,26,70000
1,36,100000
1,35,38000
1,44,37000
0,38,90000
0,40,71000
1,34,105000
0,31,104000
0,34,114000
1,25,125000
1,43,81000
0,60,107000
1,26,59000
1,30,90000
1,23,103000
1,38,69000
0,45,93000
0,30,38000
0,48,97000
1,44,124000
0,48,40000
1,34,69000
1,49,87000
1,39,74000
1,35,88000
1,33,110000
0,37,21000
1,24,108000
1,37,66000
0,38,99000
1,54,150000
1,43,91000
1,51,97000
0,53,128000
1,25,32000
1,32,53000
1,60,72000
0,45,141000
0,38,74000
1,40,68000
0,46,106000
0,40,50000
1,36,53000
1,32,93000
0,33,15000
0,45,16000
1,29,76000
1,37,140000
1,55,85000
0,24,139000
1,59,61000
0,58,52000
1,33,104000
1,60,15000
0,32,23000
1,51,103000
1,38,125000
0,25,137000
1,40,50000
1,39,21000
1,24,48000
1,38,63000
0,30,93000
0,44,94000
1,36,73000
0,54,126000
0,47,40000
0,44,43000
0,29,47000
1,31,118000
0,50,144000
0,32,66000
1,47,101000
1,41,42000
0,32,70000
0,34,50000
1,45,64000
1,34,44000
1,31,109000
1,45,126000
0,43,106000
1,53,15000
0,31,51000
1,31,54000
1,39,61000
1,49,82000
1,23,45000
0,28,25000
0,38,20000
0,32,15000
1,43,33000
0,35,28000
0,60,116000
0,44,59000
0,23,49000
1,25,76000
0,60,53000
0,33,86000
0,42,31000
1,48,39000
0,45,70000
0,56,99000
1,25,15000
1,35,42000
0,34,52000
0,38,54000
1,32,56000
1,42,98000
0,28,30000
0,43,97000
0,28,99000
0,48,111000
0,35,123000
0,43,28000
0,50,61000
0,42,57000
0,40,143000
1,28,53000
1,41,150000
0,49,68000
1,34,65000
1,46,98000
1,25,125000
0,21,89000
0,55,107000
1,30,15000
0,37,60000
0,22,45000
1,31,56000
1,18,19000
0,32,26000
0,40,15000
1,30,81000
1,43,100000
1,28,19000
1,57,77000
1,28,49000
1,38,61000
1,29,86000
0,27,124000
1,31,16000
0,40,132000
1,18,48000
1,60,16000
0,31,50000
1,46,31000
0,49,95000
1,45,99000
1,42,68000
0,58,43000
1,38,60000
1,31,18000
0,54,93000
0,39,92000
1,40,99000
0,47,44000
0,50,58000
1,23,31000
0,52,80000
1,46,121000
0,60,51000
1,28,15000
0,34,26000
0,36,84000
1,35,101000
0,41,62000
0,25,60000
0,21,89000
1,26,132000
0,46,65000
1,42,102000
1,42,84000
0,31,70000
0,32,49000
0,35,57000
0,42,95000
1,23,44000
0,45,64000
1,35,30000
1,30,55000
1,42,52000
1,26,48000
0,35,117000
1,60,80000
0,29,64000
1,50,88000
0,29,83000
1,31,64000
0,52,46000
1,26,39000
0,35,68000
1,40,60000
1,30,30000
0,19,43000
1,37,120000
1,27,17000
0,38,94000
0,44,15000
1,35,15000
1,26,86000
1,47,70000
0,60,150000
0,50,89000
0,31,62000
1,34,79000
1,41,58000
0,56,116000
0,35,15000
0,40,110000
1,32,29000
0,44,70000
1,26,52000
0,30,46000
0,60,89000
0,45,101000
0,34,80000
1,44,42000
0,48,49000
1,41,55000
1,48,69000
1,60,49000
0,21,51000
1,29,68000
1,59,96000
0,47,61000
0,48,84000
1,29,69000
1,41,82000
0,49,109000
