age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
73,0,270589,8,8,2,3,0,3,0,0,2403,99,38
32,7,103829,9,8,1,10,0,0,1,0,1021,18,25
63,3,126725,15,11,3,0,0,3,1,3869,2833,15,39
30,5,267995,10,9,4,0,3,0,0,0,0,58,14
17,0,228484,9,15,0,4,1,4,0,125,0,30,38
24,0,417555,11,10,3,8,3,4,0,99146,2247,30,23
64,3,133736,12,12,3,0,5,3,1,6692,0,54,0
47,3,355698,14,7,5,3,0,4,0,0,0,41,10
37,4,124277,11,8,3,13,0,3,0,0,10,52,19
90,6,378075,14,12,4,0,4,2,0,0,0,41,39
47,1,74087,0,9,5,1,3,3,0,10104,0,57,0
25,0,199874,11,9,0,1,2,4,0,0,2445,39,11
25,0,165254,6,10,5,7,0,1,0,99999,10,31,31
46,7,306534,8,16,5,0,1,4,1,494,803,1,41
20,1,274859,11,12,5,3,0,3,0,132,2760,23,23
52,1,157284,4,1,0,0,3,2,0,991,0,35,39
34,6,32516,8,16,1,0,3,3,0,9282,10,19,26
78,0,345354,15,1,5,3,1,1,0,6297,2,18,0
21,3,203501,15,1,5,3,3,3,0,180,1207,53,20
50,4,138525,0,7,2,12,1,1,0,161,0,88,11
51,0,311927,12,8,0,7,2,2,0,7248,0,39,38
90,4,12285,8,9,4,3,2,0,1,15420,1763,40,8
90,6,71751,14,11,3,10,0,0,0,0,2612,24,41
60,0,223698,3,10,3,6,1,1,0,5261,2368,31,28
17,3,462004,10,9,0,6,2,1,0,0,0,39,6
18,5,182128,12,8,4,0,2,3,0,83451,0,49,39
89,3,38645,3,10,2,4,0,2,1,0,0,48,32
79,3,132366,10,6,5,1,1,2,1,6226,2210,40,39
40,0,398451,10,9,2,1,2,0,0,474,0,18,26
35,4,152867,14,16,1,0,3,3,0,18765,1,31,28
44,3,274610,8,9,1,1,2,4,0,62950,6,1,39
90,2,328433,9,14,2,12,4,0,1,0,7,40,12
32,5,92086,7,13,0,0,0,0,0,173,1879,22,25
19,4,239070,6,14,4,1,1,4,0,0,807,16,39
37,6,272231,0,10,1,8,3,0,1,4926,0,36,38
17,1,754583,7,9,4,2,3,4,0,85422,2908,21,38
53,0,12285,6,9,0,6,5,0,1,78392,9,63,39
90,2,88179,8,7,2,2,3,0,0,0,2929,30,8
46,0,77519,10,13,3,8,1,2,1,10836,0,7,39
17,5,458805,15,1,2,11,5,4,0,67692,0,37,23
58,6,127988,8,9,0,0,0,1,1,0,1158,31,25
83,4,164964,8,12,4,7,1,2,0,99999,0,1,8
42,3,174038,6,10,2,8,1,4,0,37,2731,42,0
57,1,263797,15,6,4,10,0,1,1,4899,0,1,24
53,0,110191,7,8,0,3,0,3,0,81890,2546,16,8
