age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
17,7,86171,3,9,0,1,5,4,1,27111,2556,10,39
27,4,147701,8,9,5,5,4,4,0,9675,0,51,39
28,6,54756,3,16,3,14,4,4,0,63,0,99,24
30,2,78309,7,7,2,1,5,2,0,51667,1,25,5
41,5,97773,6,1,2,1,2,4,1,17365,1220,14,32
21,2,58287,12,9,4,0,4,4,1,6848,11,41,0
36,1,190144,8,1,4,4,0,0,0,0,0,46,0
51,2,169514,15,9,0,3,3,0,1,0,5,48,39
17,4,150827,12,13,0,12,2,4,0,5287,2,31,39
35,0,14271,9,6,0,14,1,0,0,13678,5,31,39
27,0,311296,8,13,5,1,4,1,1,0,11,8,14
41,4,111294,15,6,6,10,0,0,1,6353,11,40,11
72,8,54376,15,9,0,6,4,4,1,0,1480,40,24
19,4,153028,11,7,3,14,1,4,0,7438,1971,27,35
35,4,213829,0,9,6,11,4,4,1,19,0,99,39
17,7,88009,15,4,0,12,4,2,0,11567,2504,68,25
37,6,24379,8,11,5,3,3,4,0,6356,0,43,35
43,5,228674,9,9,2,0,0,4,1,4,2712,99,32
23,7,138139,8,13,5,3,2,3,1,13247,3,41,11
21,5,81786,11,9,3,11,3,1,1,6177,2013,40,27
89,2,84535,0,8,6,11,5,2,1,28226,2708,99,39
38,6,57450,1,9,4,7,2,1,0,7377,10,1,33
78,5,164618,8,3,6,4,1,2,1,99,1212,99,39
19,6,347687,12,14,2,1,1,2,1,6573,0,53,19
17,2,169390,8,14,2,1,0,3,1,76,2,5,26
68,0,1455435,11,14,2,14,0,1,1,38156,1564,30,35
46,7,290444,15,14,6,5,0,4,0,8,1608,48,39
41,6,151499,6,3,4,9,2,0,0,17257,0,36,39
46,1,238754,8,10,4,0,1,4,1,3584,2475,40,39
17,4,29373,4,15,4,14,4,2,0,53011,10,47,26
29,6,1342917,9,9,2,10,2,2,0,24099,10,40,0
24,4,325630,7,13,6,1,4,4,0,53259,11,45,39
17,7,1455435,12,10,2,5,3,4,1,11645,2518,40,0
52,6,225297,15,13,2,12,5,2,1,11320,11,40,31
19,5,158000,0,16,4,11,3,0,1,4160,11,40,25
23,2,178335,8,10,6,9,5,3,1,2093,1374,24,39
17,4,302548,15,15,5,13,2,0,0,6965,9,33,39
35,4,84836,11,13,6,1,0,2,0,0,0,33,28
48,2,33324,12,13,2,5,2,3,1,88,5,34,39
41,4,710210,3,10,5,7,0,3,0,24356,2625,33,3
89,6,171392,11,8,2,1,3,4,1,0,2686,40,39
76,6,167457,15,15,5,11,5,1,0,0,2673,57,1
26,4,666867,3,10,4,9,5,2,1,79,0,40,16
22,6,341964,9,5,4,1,4,0,0,0,11,40,0
22,5,162203,15,11,5,8,0,2,1,0,1265,32,39
21,6,270015,0,8,4,3,1,2,1,2540,0,40,32
84,1,852097,9,10,0,12,2,2,1,0,0,51,39
21,2,65842,8,14,0,4,5,4,0,4967,0,99,11
37,0,220349,12,11,6,0,0,3,0,85,1776,31,21
53,2,232934,7,15,4,11,5,1,1,5437,0,28,39
72,0,184242,2,3,2,3,3,4,1,16719,9,47,0
37,4,186400,11,12,2,13,2,4,0,2625,0,27,39
40,1,194657,3,13,6,12,4,3,1,94,8,80,35
17,2,139343,11,8,4,9,3,4,1,11556,7,36,25
20,4,68774,9,16,0,8,2,4,1,41848,0,34,0
