age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
31,4,360207,5,9,1,10,0,4,1,0,602,46,39
24,4,365944,13,8,2,3,2,4,1,16295,0,44,35
36,4,199439,8,12,3,9,0,4,1,0,0,54,39
29,6,232691,15,9,6,10,1,4,1,4316,0,27,33
25,4,94353,11,9,1,2,1,4,1,0,0,42,35
31,5,120009,10,5,0,3,4,4,1,713,336,37,39
22,5,330936,10,14,2,7,2,4,1,3699,0,14,36
28,5,120073,11,8,1,11,4,4,0,10155,0,53,27
61,3,373509,13,13,3,7,1,4,1,11623,127,26,31
56,2,235928,6,9,2,3,0,4,1,0,0,57,35
29,4,154801,14,10,2,2,2,4,1,0,483,38,32
41,5,192549,12,11,3,13,1,4,1,1559,0,55,32
32,4,389630,13,7,4,9,2,4,1,2861,0,39,41
47,3,1357937,14,10,0,7,1,4,0,6635,0,39,35
38,4,216983,4,10,1,14,0,4,1,0,0,43,41
19,4,1455435,8,10,4,7,3,3,1,5280,0,34,34
28,4,220434,7,8,5,9,0,4,1,0,437,42,41
25,5,207870,14,9,3,1,2,2,0,1690,597,46,34
27,3,290910,11,5,4,1,0,4,1,0,484,21,41
52,5,138593,15,14,2,2,0,4,1,7474,0,50,28
37,3,47534,2,10,4,3,4,3,1,1447,73,54,41
37,4,58038,13,13,1,13,0,4,1,17231,0,45,39
21,4,75470,11,12,3,9,3,3,1,0,301,52,41
59,4,32280,9,10,1,2,0,4,1,0,313,79,31
22,4,180425,10,12,4,10,0,4,1,367,201,31,23
38,4,699099,5,10,5,4,0,4,1,20030,377,41,35
54,4,100399,12,7,1,5,0,3,1,0,289,63,40
41,5,87207,4,12,3,3,0,4,1,9899,75,53,37
41,5,701529,9,7,4,2,1,4,0,0,0,33,32
41,5,244117,12,11,3,12,2,4,1,243,0,56,34
24,5,176224,12,9,1,3,3,4,1,6471,524,45,40
38,4,104364,8,11,3,12,0,3,1,0,356,44,33
28,4,329297,11,13,3,8,1,4,1,0,0,22,25
45,4,157649,9,8,2,6,0,2,1,8877,1020,50,23
18,3,189005,15,11,2,0,2,4,0,0,85,34,34
64,4,126577,4,7,4,13,0,4,1,0,0,43,36
49,4,59686,9,16,1,4,2,4,1,2150,0,66,41
34,4,161205,12,7,5,1,4,4,0,3678,0,39,27
50,5,95228,8,12,1,13,2,4,1,1202,183,40,41
33,4,409074,15,11,1,1,0,4,1,4909,0,57,41
47,4,178366,10,7,2,5,3,4,1,2040,0,33,38
18,4,140842,7,12,5,12,0,4,1,0,0,46,37
21,4,223586,15,10,0,10,3,4,1,0,286,24,35
18,0,170630,10,6,3,5,3,4,0,0,188,16,33
21,3,141100,4,9,3,0,1,4,1,0,0,44,29
45,4,82841,8,10,0,12,2,4,0,2450,97,62,34
28,4,134716,9,11,1,12,5,4,0,4367,433,46,27
24,4,61102,11,10,3,8,1,3,1,4773,0,41,41
22,5,368078,0,8,2,7,0,4,1,5066,911,43,23
75,4,100695,15,11,4,14,0,4,1,9504,383,45,35
40,5,151382,9,10,2,1,4,4,0,7083,0,47,41
56,5,188180,14,11,0,13,4,4,0,5376,0,53,41
42,4,215201,15,10,1,2,1,4,0,8041,102,42,41
35,5,163576,10,14,0,13,1,4,1,0,70,19,40
39,5,113034,12,11,3,11,3,4,0,0,0,36,32
61,3,249351,15,9,4,1,1,4,0,0,0,34,32
72,4,198999,13,11,2,9,0,3,1,2160,6,35,41
24,5,155148,14,10,3,11,3,4,0,2690,0,17,36
58,4,189104,1,9,3,6,2,4,1,4901,0,39,28
34,4,117049,11,12,4,11,2,4,1,7409,0,47,28
37,4,204320,9,10,2,8,2,4,1,2897,198,51,41
22,4,359167,4,12,0,12,1,3,1,7671,69,44,37
29,3,190767,15,13,1,3,1,4,0,0,67,40,41
44,3,114046,6,10,4,6,2,4,0,0,695,40,34
41,4,192569,6,11,1,6,2,4,1,8123,0,37,41
37,4,201152,6,12,1,11,4,3,0,0,126,30,35
37,2,241442,10,5,4,1,1,4,1,0,0,47,35
36,4,99652,8,8,5,0,0,3,1,5361,559,37,41
48,3,215112,8,7,1,10,0,4,1,6358,0,65,41
74,4,210919,10,7,0,4,1,4,1,0,761,35,37
33,4,69396,6,10,0,14,2,4,0,2226,0,46,22
29,3,601119,11,5,2,1,3,3,0,11491,0,13,29
18,3,934212,6,9,3,4,3,4,0,0,285,17,41
56,5,244381,7,10,0,4,0,4,1,14436,0,27,41
56,4,33193,11,7,1,5,0,4,1,0,54,43,41
27,4,1455435,12,14,2,9,3,4,1,0,0,46,40
54,5,164952,4,5,5,13,1,4,1,12470,769,49,24
51,4,149610,3,15,5,12,4,4,1,1206,0,21,26
71,4,171671,11,8,3,0,0,4,1,682,267,72,41
33,4,252269,0,10,4,0,2,3,1,478,0,34,30
49,4,187385,15,10,1,8,2,4,1,0,811,81,41
51,3,63005,8,7,3,4,3,4,0,10612,0,31,37
28,6,72773,9,10,2,14,0,4,1,2737,0,57,19
19,3,181027,14,16,5,10,2,4,0,0,155,25,25
21,3,216888,8,9,1,1,3,4,0,1118,0,38,36
22,5,54635,8,9,0,12,1,4,1,0,0,52,41
40,4,156741,14,14,2,8,1,4,0,0,0,50,41
19,4,241187,11,5,3,13,0,4,1,0,0,54,41
37,3,212573,3,9,1,2,2,4,1,0,447,45,35
69,4,215760,12,11,0,6,2,4,1,5300,30,44,37
43,4,327567,11,7,3,2,0,4,1,10047,86,44,28
17,4,300184,14,8,5,3,2,3,1,4099,0,33,25
62,4,427080,15,12,1,3,1,4,0,0,80,6,41
38,4,205651,13,12,3,4,1,4,1,1644,513,23,41
18,4,59642,15,11,2,9,1,4,0,0,240,55,39
50,4,503019,5,7,3,2,0,4,1,5734,432,49,31
43,4,216047,10,11,1,4,1,4,1,0,0,48,41
30,5,729856,4,10,2,9,0,4,1,1753,0,82,35
36,7,65994,15,12,5,12,0,4,1,1792,227,45,36
35,4,358964,7,8,5,4,0,4,1,0,454,31,41
35,4,189885,3,10,4,1,2,3,1,4949,0,40,41
34,4,148382,7,9,4,8,1,4,1,0,0,52,36
22,5,280996,1,6,4,14,1,4,0,1907,884,35,41
18,3,211460,10,8,1,13,0,4,1,6266,0,45,41
20,4,195064,11,10,5,11,1,4,0,0,344,28,41
43,3,104979,13,10,6,3,3,4,0,0,0,8,31
20,3,163088,7,9,4,7,4,4,0,0,0,34,36
52,6,182068,12,10,3,11,1,4,1,0,82,44,41
73,3,131810,15,10,3,0,0,3,1,1624,284,67,38
26,4,249454,12,12,2,3,3,4,0,2200,324,16,32
47,6,130309,8,9,5,9,1,4,1,0,146,43,29
37,3,169853,8,14,2,0,1,4,1,0,390,40,41
31,4,476386,5,10,2,2,0,4,1,639,0,35,41
58,4,170436,15,9,1,1,2,4,0,2119,0,32,41
34,4,148713,12,7,0,1,1,4,1,0,0,36,41
32,5,847972,11,14,2,10,1,4,1,15821,0,47,41
31,4,105479,11,12,4,6,0,4,0,4091,307,29,32
33,5,158568,13,8,0,10,5,4,1,0,0,44,41
35,4,91160,14,12,4,6,2,4,0,8294,141,52,41
26,3,266305,5,10,3,11,0,4,1,0,330,50,31
30,4,237497,14,10,1,3,2,3,1,11274,0,48,19
44,4,127881,2,6,5,12,0,4,1,0,0,39,40
22,3,897926,15,9,2,4,1,4,1,6404,0,58,36
18,4,300924,12,10,3,13,0,4,0,0,1022,40,38
43,4,321580,13,8,4,6,2,4,1,0,402,32,38
37,5,823456,5,8,1,10,3,4,1,3032,563,50,32
19,5,248569,10,9,1,12,3,4,0,11229,260,53,37
49,3,38185,15,12,0,5,0,4,1,0,140,43,41
48,5,212396,5,11,5,3,0,4,1,9285,500,49,36
59,4,140436,13,13,5,2,0,4,1,4154,290,41,31
28,4,220457,11,10,1,3,2,4,1,0,0,38,27
32,3,104806,11,4,2,1,4,4,0,0,0,28,23
55,4,111173,9,9,2,14,2,3,1,0,103,31,41
43,3,142912,13,10,1,6,2,4,0,0,290,41,31
33,4,171515,12,1,2,9,2,3,1,4268,0,34,41
52,3,162286,10,10,3,0,0,4,1,16922,352,24,41
74,4,232046,10,4,0,4,1,4,1,0,0,38,38
58,3,231687,15,14,3,7,2,4,1,0,634,42,38
35,6,259279,8,11,1,1,0,4,1,0,0,24,32
22,4,192328,15,11,0,1,4,4,0,0,0,35,40
38,5,829615,8,13,5,13,1,4,1,0,399,51,23
35,4,65812,14,11,2,2,1,3,1,15202,0,35,41
28,4,264270,14,13,5,10,4,4,0,16395,0,60,39
29,3,147889,4,9,5,2,0,4,1,0,0,49,32
28,3,44472,11,10,3,2,0,3,0,0,0,28,26
21,2,272631,11,12,3,2,3,4,0,0,411,31,33
53,6,117840,3,9,3,12,3,4,0,12788,0,37,39
48,5,180376,15,8,2,8,0,4,1,879,0,34,33
37,4,502936,10,12,2,12,0,4,1,10118,330,82,29
33,3,111534,9,9,2,1,2,4,1,5392,165,37,38
22,3,78291,11,11,0,2,3,4,0,6421,307,46,33
19,4,280484,8,4,5,0,2,4,0,0,22,25,41
41,5,186433,15,10,4,3,2,4,0,0,421,56,23
59,3,156715,6,10,5,5,0,3,1,2841,0,29,35
27,4,177373,8,8,3,7,1,4,1,0,0,48,34
48,4,360526,10,11,4,1,0,4,1,0,336,10,41
34,4,383897,3,14,1,7,1,4,0,2691,0,63,25
59,5,71450,14,10,1,12,0,4,1,3175,584,87,41
41,3,133692,12,12,4,1,0,4,1,0,0,43,41
67,4,133948,10,10,2,7,1,4,1,0,129,40,38
23,4,260801,2,10,4,1,2,3,0,0,0,38,26
28,3,184382,11,9,2,1,2,4,1,0,109,29,36
46,4,68869,8,10,3,13,0,4,1,13260,362,33,41
41,4,158430,10,11,0,8,0,4,1,0,0,29,40
51,4,56659,11,11,3,2,2,4,0,3262,0,41,29
