Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,32.84,0,0,151,188.9258,-1,1
1,0,27.88,0,1,295,30.1988,9,1
1,0,60.67,0,0,133,11.5813,-1,0
1,0,69.52,4,0,0,33.9624,77,1
2,0,16.4,1,0,404,250.2938,29,0
2,0,14.01,1,0,651,24.3633,-1,0
2,0,27.77,3,0,483,16.7613,23,1
1,0,31.59,1,3,107,2.644,32,0
3,0,71.21,1,0,447,246.0325,13,0
2,0,27.67,0,1,617,12.5941,-1,0
1,0,56.5,0,1,341,87.2082,2,0
1,0,40.5,3,4,123,8.9586,-1,1
1,0,60.9,0,1,644,254.4312,-1,1
1,0,45.55,1,0,535,17.9094,-1,1
3,0,51.31,0,1,439,35.6801,-1,0
1,0,67.28,1,0,320,34.4658,-1,0
2,0,55.71,5,1,479,6.7437,31,0
2,0,38.77,0,0,226,219.724,3,1
1,0,55.12,1,0,388,23.9148,34,1
2,0,78.25,0,4,101,14.1841,9,0
1,0,57.49,0,0,108,15.9717,-1,0
2,0,55.88,0,0,460,15.4599,17,0
1,0,44.99,0,2,497,0.0,5,1
1,0,35.48,0,0,315,11.1026,77,0
2,0,20.69,1,1,11,196.7112,-1,1
2,0,34.87,0,2,637,12.8999,-1,0
1,0,58.26,4,1,137,9.8183,-1,0
2,0,32.72,1,1,121,104.977,56,1
1,0,64.31,1,0,583,164.8004,49,2
2,0,45.06,1,1,238,6.0996,35,0
1,0,64.94,1,1,407,83.5257,-1,1
1,0,55.53,4,0,479,4.4251,27,1
1,1,36.48,0,0,388,257.9901,12,1
1,1,17.9,0,0,193,5.5197,-1,0
1,1,31.1,0,0,506,12.451,22,2
1,0,23.72,4,1,355,25.1793,3,1
2,0,31.77,1,1,341,13.4482,-1,1
2,0,36.26,0,0,381,0.0,-1,1
1,0,67.23,1,2,281,36.3364,-1,1
1,0,34.31,0,0,403,30.5155,0,0
1,0,56.33,0,0,371,51.1051,-1,0
1,0,59.08,1,0,514,31.4697,-1,1
1,0,13.24,0,0,210,45.6469,3,0
1,0,22.91,0,1,342,479.8684,-1,0
3,0,34.62,1,0,473,27.9939,87,1
3,0,60.58,1,1,354,5.8455,15,0
1,0,45.95,0,0,588,191.3366,-1,2
1,0,43.64,4,0,423,170.0629,58,0
2,0,35.95,1,0,680,7.9614,57,1
1,0,39.47,1,1,168,4.869,80,1
1,0,41.37,4,2,357,33.5812,0,1
2,0,29.33,0,0,635,27.6622,45,1
2,1,68.12,1,1,663,4.1208,62,0
1,0,30.96,1,0,338,26.0719,0,1
1,0,31.92,0,1,198,60.7308,-1,1
1,0,32.76,4,0,229,287.0483,22,1
1,0,20.13,4,1,474,26.7849,-1,0
1,0,21.49,1,0,468,53.4209,48,2
2,0,39.6,0,2,125,44.7328,-1,1
1,0,43.37,0,0,410,100.3484,-1,0
3,0,6.95,0,2,582,155.4869,-1,0
2,1,13.52,1,2,441,184.6988,17,0
1,0,3.71,1,0,79,9.1747,70,0
1,0,75.66,2,1,231,18.1019,35,1
2,1,30.31,0,1,93,173.4243,-1,1
1,1,55.78,2,0,462,37.5209,10,1
2,0,72.62,1,0,320,10.7482,17,0
2,0,61.42,0,0,567,448.5001,-1,2
3,0,56.04,0,0,680,283.58,-1,0
1,0,43.93,0,1,595,35.2317,-1,0
1,1,39.97,0,5,617,41.8134,5,1
3,0,17.47,1,0,169,33.6021,-1,0
2,0,44.31,0,0,341,37.244,-1,1
2,0,68.41,0,2,220,7.2989,41,2
3,0,50.46,1,0,680,24.5451,-1,0
1,0,63.23,4,0,223,19.037,31,0
1,0,57.35,0,1,491,7.3066,-1,0
2,0,28.65,1,0,380,7.4882,-1,1
1,0,39.71,5,0,175,24.2756,38,0
1,0,36.82,0,0,141,19.2574,45,1
2,0,54.9,4,0,243,28.9651,56,0
1,0,55.42,0,3,180,0.0,-1,2
1,1,80.0,0,0,7,2.3834,-1,0
1,1,74.94,0,0,437,28.5414,30,1
2,1,63.43,0,3,391,25.1823,-1,1
1,0,16.58,1,1,435,7.7343,28,0
3,0,55.22,4,2,557,39.223,-1,1
2,1,40.26,0,1,390,9.9283,-1,0
1,1,54.63,0,0,125,7.5847,9,0
2,0,25.91,1,0,403,60.5976,33,2
2,0,80.0,1,0,77,22.4156,2,0
1,0,51.94,5,1,379,38.2718,1,1
1,1,10.75,2,0,122,12.2073,2,0
3,0,52.61,1,0,419,41.7415,40,1
1,0,24.02,0,4,176,87.0923,12,0
3,0,62.0,1,1,240,16.1136,-1,1
2,1,65.66,0,0,190,228.297,-1,0
1,0,64.16,0,1,393,80.0392,-1,1
1,0,53.71,0,0,186,8.2775,81,0
1,0,29.81,0,1,209,97.4059,-1,1
3,0,5.42,1,4,370,19.9367,-1,0
1,0,22.29,1,2,349,35.4877,-1,1
1,0,33.89,4,0,345,10.6714,-1,0
1,0,38.45,0,1,91,35.8983,97,0
3,1,35.88,0,0,565,34.8305,-1,0
1,0,31.92,0,1,640,35.8917,-1,0
1,0,52.26,0,0,680,44.9888,42,0
3,0,19.61,1,1,326,24.3359,-1,1
1,0,24.77,4,1,360,7.966,16,1
2,0,30.8,4,2,113,63.3111,17,2
2,0,59.94,0,1,140,163.4614,68,0
1,0,27.96,0,0,514,2.434,8,1
3,0,34.56,0,1,222,218.7592,0,0
2,1,61.16,2,0,636,19.1505,-1,0
3,0,68.61,0,0,55,26.5681,-1,0
1,1,41.34,0,0,522,26.9882,-1,0
1,0,62.3,0,0,331,15.912,56,1
3,1,41.04,1,1,413,16.9324,-1,1
2,0,43.77,0,2,610,30.9935,0,1
2,0,61.43,0,0,613,6.3235,-1,1
1,0,43.91,1,1,421,96.1783,-1,2
1,0,29.5,5,2,473,10.328,-1,0
1,0,32.25,5,1,642,13.9715,-1,1
