Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
3,0,18.57,0,0,310,50.5819,-1,1
1,0,15.41,0,0,193,20.3567,-1,1
2,1,11.95,1,0,284,64.5695,-1,2
2,1,27.26,0,1,16,14.4862,-1,2
3,1,3.53,1,0,0,106.4319,-1,1
2,0,4.23,0,0,246,211.1452,69,1
2,0,22.65,1,1,552,37.5845,-1,0
2,1,7.42,2,0,15,103.2255,-1,2
1,0,19.65,1,0,178,209.0814,-1,0
3,0,22.86,0,0,3,15.6959,-1,2
3,0,8.16,1,0,672,10.9089,-1,1
3,1,26.44,1,0,487,5.209,86,1
1,1,1.15,5,2,105,23.2524,-1,2
3,0,0.42,0,0,373,27.382,55,2
2,0,8.06,4,0,0,6.2972,23,2
2,0,24.31,1,0,124,6.6666,75,1
1,0,0.42,5,0,54,23.2578,-1,0
3,0,16.54,5,0,148,127.9571,-1,2
1,0,10.56,5,0,226,124.5162,-1,1
3,0,49.35,5,0,327,17.3554,-1,1
1,0,2.08,0,0,590,18.4298,-1,1
3,0,9.73,1,0,0,15.0195,-1,1
3,0,29.86,0,0,163,121.956,139,1
3,0,9.36,1,0,7,205.0749,-1,2
3,1,42.05,5,0,604,35.3771,92,0
3,1,19.86,1,0,503,35.8426,-1,1
3,1,15.48,1,0,150,1.8009,-1,0
3,1,11.89,5,0,196,16.5038,58,2
1,0,36.22,1,3,663,22.1047,43,0
2,1,0.42,2,0,57,144.9446,18,0
3,1,24.81,4,0,302,10.8911,-1,0
2,0,2.18,4,0,1,78.6641,42,2
1,0,28.39,3,2,513,3.4407,31,2
3,0,27.27,0,0,14,62.2529,-1,2
1,0,37.71,1,0,671,79.4364,-1,1
3,1,17.41,1,0,0,14.2279,-1,1
3,0,40.82,5,0,250,88.4137,2,1
3,1,28.25,0,2,609,158.9341,5,2
1,1,0.42,0,0,224,23.4744,42,1
3,0,23.57,0,0,195,17.687,13,0
3,0,16.69,5,0,73,24.3844,35,1
3,1,18.29,0,0,187,65.0643,-1,1
