Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,32.9,0,0,66,105.1442,104,1
2,0,32.52,1,0,679,27.7193,-1,2
3,1,10.74,0,0,568,17.2112,-1,2
3,1,23.87,0,0,541,22.603,-1,2
2,1,35.77,1,0,612,127.0344,2,2
1,1,20.17,2,0,73,8.8907,70,2
2,1,47.26,2,0,676,141.1121,76,1
2,0,19.77,2,1,261,28.8611,58,1
2,0,53.11,0,0,59,53.7314,1,2
3,0,16.16,1,0,20,0.0,-1,2
1,0,53.5,2,0,499,50.89,55,2
2,1,13.62,1,1,287,28.1959,51,1
2,1,42.81,2,0,42,47.6286,41,1
1,1,33.63,3,0,25,110.0631,47,0
3,1,9.98,1,0,481,0.0,19,2
2,1,35.53,1,0,11,31.4056,19,1
2,0,36.08,1,0,662,36.2604,25,0
3,1,30.9,1,0,333,0.0,-1,2
3,1,12.86,1,0,537,46.0769,-1,1
3,0,6.62,1,0,625,61.8265,-1,2
1,0,35.79,2,0,20,113.2285,47,2
2,1,27.56,1,0,463,15.8206,-1,2
2,0,28.88,0,0,3,49.373,72,2
3,0,5.53,1,0,356,0.0,-1,2
3,1,27.78,0,0,287,0.0,43,2
3,0,31.48,0,0,483,31.9836,-1,2
2,1,14.8,0,0,217,9.5137,34,1
3,1,18.04,0,0,399,43.6082,16,2
1,0,29.52,0,0,578,74.9206,59,1
2,1,31.89,0,0,654,54.4094,22,0
1,0,25.05,2,3,109,77.0371,120,2
2,0,35.2,0,0,496,59.0085,4,1
2,0,39.87,0,0,653,83.2445,9,0
2,0,22.3,1,0,47,88.1775,11,2
2,1,39.35,0,0,15,85.8197,28,1
3,0,20.74,1,0,644,60.0993,2,1
2,1,20.36,2,0,425,148.6608,35,2
1,0,63.65,0,0,189,68.6916,64,0
3,1,18.37,2,0,480,89.2339,-1,2
1,0,33.32,1,0,47,35.0388,-1,1
3,1,9.78,1,0,546,27.7217,34,1
2,0,44.27,0,0,4,30.3628,33,2
3,1,35.1,0,0,678,0.0,-1,2
1,1,67.71,0,0,11,88.5924,41,0
3,1,19.81,1,0,166,0.0,-1,2
2,0,33.84,1,0,22,60.4963,6,0
2,0,36.48,1,0,118,45.0405,-1,1
1,1,38.12,0,0,242,129.6407,2,2
3,1,27.92,0,0,261,35.6758,-1,2
1,1,35.04,0,0,42,173.4768,24,2
2,0,24.21,0,0,393,37.9505,-1,1
2,1,11.46,1,0,432,41.1569,24,2
3,0,8.58,0,0,444,0.0,-1,2
2,1,70.52,0,0,10,0.0,53,2
2,0,34.88,1,0,645,19.2579,-1,1
2,0,26.86,0,0,388,0.0,2,1
1,0,48.28,0,0,347,112.6172,4,2
2,1,28.02,1,0,435,131.067,81,1
2,1,30.82,1,0,627,85.7416,-1,2
2,0,35.86,0,0,103,74.2701,-1,2
3,1,20.88,2,0,589,0.0,-1,2
3,0,29.03,2,0,567,0.9899,40,2
3,1,22.84,1,0,88,1.4599,-1,2
2,1,34.02,0,0,492,40.3482,35,1
2,0,22.6,1,0,523,43.5796,-1,-1
3,1,61.97,0,0,126,0.0,-1,1
2,1,14.92,1,0,222,25.2413,72,2
3,1,19.74,1,0,227,10.0076,-1,2
1,1,27.65,1,0,39,21.8688,43,2
3,1,28.94,1,0,315,0.0,-1,2
1,0,32.38,1,0,92,114.6082,95,2
3,1,8.2,1,0,616,0.0,17,2
2,1,44.01,0,0,227,18.315,26,1
3,1,16.85,1,0,658,0.0,-1,2
3,1,15.59,0,0,440,0.0,25,2
3,1,32.85,2,0,42,11.1434,28,1
2,0,52.23,0,0,590,0.0,42,1
3,1,40.37,1,0,216,15.4353,5,2
2,1,28.86,1,0,162,0.0,-1,2
3,0,18.19,0,0,441,35.2869,11,2
1,0,70.63,1,0,220,156.0169,24,2
2,1,26.2,0,0,128,48.0316,7,0
3,1,21.28,0,0,608,0.3626,-1,2
2,1,48.03,1,0,361,44.73,10,1
1,0,14.85,1,0,619,130.0105,51,1
2,0,46.73,0,0,24,44.0219,-1,1
3,0,18.32,2,0,331,47.9566,-1,2
2,1,30.13,0,0,224,69.644,58,1
1,0,30.07,0,0,512,115.9923,99,0
3,1,14.86,0,0,233,0.0,-1,2
1,0,13.84,1,0,106,43.9366,42,1
3,1,6.49,0,0,95,37.6294,-1,1
2,0,8.52,1,0,77,88.1989,-1,2
1,1,44.63,0,0,216,69.4067,18,0
3,1,22.81,1,0,253,0.0,7,2
2,0,7.31,0,0,262,33.7129,-1,1
2,1,17.99,1,0,449,9.9846,34,2
3,0,32.59,1,0,672,3.0844,-1,2
3,1,33.69,1,0,393,0.0,55,2
1,1,32.74,1,0,665,72.169,52,0
2,0,21.89,0,0,269,95.8458,30,1
2,0,22.39,1,0,55,127.8406,19,1
2,1,42.58,1,0,83,44.2601,-1,2
2,1,0.42,1,0,215,14.5322,105,0
3,1,16.09,0,0,328,0.0,-1,2
1,0,79.59,0,0,37,128.4482,81,1
2,1,59.91,0,0,445,99.929,53,1
3,0,31.98,1,0,649,13.1743,-1,2
2,0,15.78,1,0,305,47.6168,46,2
2,1,15.48,0,0,106,2.4736,-1,2
1,0,35.55,2,0,44,85.1178,21,2
2,0,34.85,0,0,631,40.1024,-1,2
1,0,4.37,1,0,124,109.1529,3,1
3,1,18.74,1,0,597,0.0,1,1
3,1,13.48,1,0,180,0.0,-1,2
3,0,26.98,0,0,639,58.4802,-1,0
1,1,17.34,0,0,410,139.6172,93,1
3,1,9.09,0,0,277,7.5061,-1,1
1,0,25.1,0,0,183,5.0733,96,0
2,1,26.15,3,0,294,0.0,2,2
1,1,20.12,0,0,1,44.9579,1,1
1,0,38.1,0,0,210,45.8686,133,2
2,1,42.43,0,0,49,110.7278,24,1
3,0,12.56,1,0,596,39.1621,-1,2
2,1,39.68,0,0,366,9.2703,12,2
2,1,50.07,0,0,435,3.9119,-1,1
2,1,31.26,0,0,321,58.6017,-1,1
2,1,9.56,1,0,79,63.8332,5,1
1,1,45.08,1,0,113,42.7481,42,1
2,0,37.12,0,0,665,62.2411,27,2
2,1,37.77,0,0,1,29.3023,36,2
2,0,21.0,1,0,631,30.2758,43,2
3,1,46.68,0,0,414,73.84,16,1
1,1,47.05,1,0,407,44.7537,0,2
3,1,0.42,1,0,76,0.0,1,1
2,0,37.4,0,0,562,125.2773,30,0
3,1,21.49,1,0,193,11.7854,4,2
1,1,20.53,2,0,106,81.7631,13,1
2,1,37.06,0,0,145,0.0,-1,2
2,0,22.08,1,0,380,11.8359,34,1
1,1,18.64,2,0,602,18.0819,6,2
3,1,30.2,0,0,582,0.0,6,1
1,0,44.75,1,0,73,78.4017,66,2
1,0,19.24,3,0,522,163.233,-1,2
3,1,35.02,0,0,488,0.0,-1,2
2,0,35.98,2,0,423,67.2082,48,2
3,1,25.06,1,0,656,0.0,32,2
1,0,55.96,1,0,560,47.3305,23,1
2,0,16.73,1,0,563,33.977,72,2
2,0,38.36,2,0,119,97.8271,48,2
2,0,33.89,1,0,670,59.4134,67,1
2,1,36.32,1,0,414,19.9008,40,2
3,0,33.54,1,0,548,15.5141,-1,2
3,1,6.48,2,0,580,79.4474,-1,2
3,1,20.01,0,0,639,0.0,76,2
1,0,17.36,1,0,515,69.3044,51,2
1,0,30.8,1,0,656,75.2322,5,2
3,1,45.84,1,0,498,97.6895,56,2
2,1,8.45,2,6,639,69.3681,14,0
3,0,7.86,1,0,439,9.8375,-1,2
