Gender,Age,EstimatedSalary
1,40,75000
1,37,74000
0,53,82000
0,41,72000
0,29,47000
0,35,71000
0,28,55000
0,37,57000
0,23,82000
0,60,46000
1,37,72000
1,37,144000
0,59,76000
1,33,31000
0,42,53000
0,22,55000
0,47,49000
1,32,120000
0,36,126000
1,25,80000
0,48,29000
0,47,50000
0,50,88000
1,38,71000
0,35,97000
1,37,52000
1,39,134000
0,42,75000
0,42,90000
1,37,75000
0,38,50000
0,46,82000
0,42,80000
1,27,20000
1,41,87000
1,36,52000
1,41,52000
1,58,144000
1,26,80000
0,32,135000
1,26,81000
1,36,144000
1,47,25000
0,48,131000
0,40,75000
1,45,26000
0,26,80000
0,47,107000
1,47,23000
1,35,61000
0,20,82000
0,21,16000
1,38,59000
0,18,44000
1,53,72000
0,26,43000
1,36,33000
0,27,54000
1,38,51000
0,47,30000
0,38,65000
1,34,43000
0,26,52000
1,35,27000
1,28,59000
0,36,50000
1,28,123000
1,30,107000
0,50,44000
0,21,68000
0,37,33000
0,27,31000
0,33,113000
1,48,41000
1,48,33000
1,40,61000
0,38,112000
1,29,43000
1,21,88000
1,35,108000
1,18,82000
0,28,59000
0,45,22000
0,31,68000
0,31,15000
0,48,138000
1,34,112000
1,20,74000
0,38,113000
1,47,34000
1,32,18000
0,36,54000
0,48,30000
1,42,54000
0,39,61000
1,42,104000
0,27,57000
1,43,129000
1,48,141000
1,24,55000
1,37,55000
1,49,86000
0,18,86000
0,35,147000
1,35,88000
1,42,65000
0,23,28000
0,42,108000
0,49,141000
1,37,79000
0,37,62000
0,52,90000
1,30,15000
1,42,65000
1,25,79000
1,28,32000
0,22,63000
1,23,63000
0,33,149000
1,35,91000
