age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
29,6,189346,15,10,0,3,1,4,1,2202,0,50,39
38,4,99138,9,13,4,4,1,4,0,0,0,38,39
50,5,127315,9,13,2,4,0,4,1,15024,0,60,39
46,5,112320,9,13,0,4,1,4,0,0,0,50,39
32,0,169186,11,9,2,0,0,4,1,0,0,5,39
51,4,162988,0,6,0,8,4,4,0,0,0,25,39
32,4,105938,11,9,0,7,3,2,0,0,0,40,39
65,6,175202,11,9,2,4,0,4,1,0,0,24,39
20,4,129240,15,10,4,1,3,4,0,0,0,20,39
44,4,127592,9,13,2,13,0,4,1,0,0,40,39
27,4,339956,11,9,2,14,0,2,1,0,0,60,39
35,4,108293,9,13,6,10,4,4,0,0,0,32,39
23,4,434467,11,9,4,12,1,4,1,0,0,48,39
25,0,262245,8,11,4,0,3,4,0,3418,0,40,39
32,0,293936,5,4,3,0,1,4,1,0,0,40,0
46,4,78529,9,13,2,13,0,4,1,0,0,60,39
42,4,106900,8,11,4,13,1,4,1,0,0,40,39
26,4,300290,1,7,0,1,3,4,0,0,0,40,39
45,4,166056,11,9,0,8,4,4,0,0,0,40,39
36,4,215392,8,11,2,10,5,4,0,0,0,40,39
43,2,269733,11,9,5,8,1,4,1,0,0,40,39
32,4,173351,11,9,2,3,0,4,1,0,0,48,39
38,4,99233,14,15,4,4,1,4,1,0,0,40,39
38,4,278253,11,9,0,1,4,4,0,0,0,48,39
40,4,220977,10,16,2,4,0,1,1,3103,0,40,19
30,4,75167,9,13,2,4,0,4,1,0,0,55,39
22,4,180060,9,13,4,4,4,4,1,0,0,40,39
24,0,67586,8,11,2,0,5,2,0,0,0,35,39
48,4,178686,11,9,0,3,1,4,1,0,0,40,39
45,4,72844,11,9,0,4,1,4,0,0,0,46,39
30,4,48520,7,12,2,10,0,4,1,0,2002,40,39
44,4,85440,11,9,2,1,0,4,1,0,0,45,39
49,7,206577,15,10,0,1,3,4,1,0,0,40,39
26,4,523067,15,10,4,10,3,4,1,0,0,3,8
27,4,169662,9,13,2,10,0,4,1,0,0,42,39
47,4,125892,15,10,2,3,0,4,1,0,0,75,39
22,4,83315,11,9,4,1,4,4,1,0,0,40,39
27,4,98769,9,13,4,12,1,4,1,0,0,45,39
19,8,43887,11,9,4,5,3,4,1,0,0,10,39
31,4,452405,13,1,4,8,2,4,0,0,0,35,26
30,4,173005,11,9,2,1,0,4,1,0,0,44,39
24,4,200679,11,9,4,5,3,2,1,0,0,50,39
40,4,33331,15,10,2,14,0,4,1,0,0,50,39
58,4,187067,9,13,4,10,1,4,0,0,0,62,2
29,4,214858,9,13,2,12,0,4,1,0,0,40,39
43,0,116632,15,10,2,0,0,4,1,0,0,45,39
63,0,257876,14,15,2,0,0,4,1,0,0,40,39
51,1,282680,10,16,4,10,1,4,0,0,1564,70,39
28,4,189346,11,9,4,6,3,4,1,0,0,48,39
22,1,209131,7,12,4,8,3,4,1,0,0,20,39
53,6,291755,15,10,2,14,0,4,1,0,0,72,39
29,1,59932,9,13,4,10,1,4,0,0,0,40,39
30,2,108386,8,11,2,11,0,4,1,0,0,40,39
44,4,126199,15,10,0,14,4,4,1,1831,0,50,39
19,4,164585,11,9,4,7,3,4,0,0,0,40,39
45,2,153312,12,14,2,10,0,2,1,0,0,10,39
64,2,244903,1,7,2,3,0,2,1,0,0,40,39
51,4,280093,11,9,5,1,2,4,0,0,0,40,39
66,0,213149,15,10,2,0,0,4,1,0,1825,40,39
25,2,348986,11,9,4,6,2,2,1,0,0,40,39
42,6,170649,15,10,2,5,0,4,1,0,0,60,39
36,4,220585,7,12,2,4,0,4,1,0,0,50,39
43,4,96483,11,9,0,8,3,1,0,0,0,40,35
33,5,289886,11,9,4,8,4,1,1,0,0,40,40
28,4,150025,1,7,4,3,1,4,1,0,0,40,0
40,4,277647,9,13,2,10,0,4,1,0,0,40,39
38,6,190023,11,9,2,14,0,4,1,0,0,40,39
40,4,130760,8,11,2,4,0,4,1,0,0,50,39
20,4,275357,8,11,4,13,3,4,0,0,0,25,39
35,4,145704,11,9,2,10,5,4,0,3942,0,35,39
19,4,29510,15,10,4,8,3,4,0,0,0,20,39
48,4,192894,10,16,2,10,0,4,1,0,0,40,39
19,4,321817,1,7,4,8,3,4,0,0,0,40,39
20,4,68358,15,10,4,1,3,4,0,0,0,12,39
25,4,206600,6,5,4,7,2,4,1,0,0,48,26
34,4,157165,15,10,0,8,4,4,0,0,0,40,39
21,0,180339,15,10,4,0,3,4,0,0,0,25,39
35,4,320451,12,14,2,4,0,1,1,0,0,65,17
48,4,326048,7,12,0,8,1,4,1,0,0,44,39
45,4,33300,8,11,2,12,0,4,1,0,1977,50,39
39,4,149943,12,14,4,12,1,1,1,0,0,40,3
52,0,252903,11,9,0,0,1,4,1,0,0,45,39
60,4,224644,0,6,2,12,0,4,1,0,0,40,39
60,4,226949,11,9,0,1,4,4,0,0,0,37,39
63,0,231777,12,14,2,0,0,4,1,0,0,30,39
19,4,35245,11,9,4,14,3,4,1,0,0,40,39
40,4,242521,8,11,2,3,0,4,1,0,0,40,39
57,4,257200,11,9,2,7,0,4,1,0,0,40,39
27,4,128730,8,11,4,4,1,4,1,10520,0,65,12
44,4,159580,2,8,0,14,1,4,0,0,0,40,39
52,6,135716,11,9,2,5,0,4,1,0,0,70,39
25,4,512771,6,5,2,14,0,4,1,0,0,45,39
26,4,303973,11,9,4,9,2,4,0,0,1602,15,26
57,7,25045,9,13,0,1,4,4,1,2174,0,37,39
59,6,136413,5,4,2,5,0,4,1,0,0,48,39
36,4,284616,15,10,2,4,0,4,1,0,0,40,39
19,0,194095,15,10,4,0,3,4,1,0,0,40,39
39,4,348521,15,10,2,5,0,4,1,0,2415,99,39
20,4,137974,15,10,4,8,3,4,0,0,0,30,39
20,0,232022,15,10,4,0,3,4,0,0,0,40,39
27,0,291547,9,13,2,0,1,3,0,0,0,6,26
25,2,169905,15,10,2,5,0,4,1,0,0,40,39
32,0,981628,11,9,0,0,4,2,1,0,0,40,39
52,4,302847,1,7,2,7,0,4,1,0,0,40,39
31,7,100863,12,14,0,4,4,4,0,0,0,50,39
25,0,122745,11,9,4,0,3,4,1,0,1602,40,39
67,6,106143,10,16,2,12,0,4,1,20051,0,40,39
39,4,113151,9,13,2,12,0,4,1,0,0,55,39
53,4,31460,11,9,0,10,1,4,1,0,0,40,39
39,4,142707,8,11,2,7,0,4,1,0,0,40,39
26,7,28366,9,13,4,10,1,4,1,0,0,40,39
25,4,198870,9,13,4,1,3,2,1,0,0,35,39
35,4,589809,15,10,4,4,1,4,1,13550,0,60,39
34,4,176244,5,4,2,8,5,4,0,0,0,40,39
52,2,298035,12,14,2,10,0,4,1,0,0,40,39
