Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
2,0,34.0,0,0,560,10.5,142,2
3,1,17.0,1,1,210,7.2292,-1,0
1,0,26.0,0,0,91,78.85,-1,2
2,1,34.0,1,0,252,21.0,-1,2
3,1,18.0,0,0,397,7.775,-1,2
3,0,26.0,0,0,343,7.8542,-1,2
3,0,22.0,0,0,509,9.8375,-1,2
1,0,52.0,1,0,454,78.2667,96,0
1,1,52.0,0,0,40,30.5,50,2
3,1,22.0,0,0,411,7.5208,-1,2
3,1,19.0,0,0,352,7.8958,-1,2
3,0,41.0,0,5,249,39.6875,-1,2
3,1,16.0,0,0,520,8.05,-1,2
3,1,11.0,5,2,566,46.9,-1,2
3,1,25.0,0,0,474,7.25,-1,2
1,1,19.0,1,0,35,53.1,100,2
1,1,36.0,0,0,578,26.3875,121,2
3,1,23.0,0,0,342,7.8542,-1,2
1,0,30.0,0,0,0,86.5,40,2
3,1,25.0,0,0,347,7.65,140,2
3,0,31.0,1,1,423,20.525,-1,2
3,1,25.0,0,0,350,7.8958,-1,2
2,1,34.0,0,0,164,13.0,-1,2
3,0,0.75,2,1,194,19.2583,-1,0
3,1,25.0,0,0,643,7.05,-1,2
1,0,63.0,1,0,71,77.9583,113,2
1,0,22.0,0,2,75,49.5,27,0
3,1,25.0,0,0,200,7.225,-1,0
3,1,29.0,0,0,506,9.4833,-1,2
3,0,45.0,1,4,337,27.9,-1,2
2,1,30.0,1,0,575,24.0,-1,0
2,1,39.0,0,0,170,26.0,-1,2
2,1,48.0,0,0,121,13.0,-1,2
2,0,54.0,1,3,236,23.0,-1,2
1,1,48.0,0,0,96,26.55,117,2
2,0,8.0,0,2,556,26.25,-1,2
1,0,17.0,1,0,611,108.9,74,0
1,1,35.0,0,0,608,512.3292,15,0
3,1,6.0,0,1,486,12.475,118,2
3,1,20.0,1,0,660,7.925,-1,2
3,0,41.0,0,2,458,20.2125,-1,2
3,1,15.0,1,1,214,7.2292,-1,0
3,1,24.0,0,0,297,8.05,-1,2
3,1,34.0,1,1,331,14.4,-1,2
2,1,60.0,1,1,240,39.0,-1,2
2,1,26.0,0,0,253,10.5,-1,2
2,0,30.0,0,0,124,12.35,-1,1
1,0,21.0,0,0,71,77.9583,114,2
1,1,58.0,0,0,61,29.7,25,0
3,1,24.0,2,0,519,24.15,-1,2
2,0,29.0,0,0,553,10.5,142,2
3,1,29.0,0,0,479,7.75,-1,1
1,1,45.0,1,0,457,83.475,80,2
2,0,6.0,0,1,155,33.0,-1,2
1,0,18.0,0,2,1,79.65,135,2
1,0,50.0,0,0,593,28.7125,69,0
2,1,29.0,1,0,633,27.7208,-1,0
1,1,36.0,0,0,577,26.2875,121,2
3,0,18.0,1,0,377,17.8,-1,2
3,1,19.0,0,0,533,8.05,-1,2
3,1,18.0,0,0,530,8.05,-1,2
2,0,35.0,0,0,570,21.0,-1,2
3,1,16.0,4,1,249,39.6875,-1,2
2,1,46.0,0,0,226,26.0,-1,2
3,1,2.0,4,1,480,29.125,-1,1
3,1,16.0,1,1,551,20.25,-1,2
1,0,2.0,1,2,37,151.55,62,2
2,1,30.0,0,0,679,10.5,-1,2
1,1,22.0,0,0,613,135.6333,-1,0
3,1,21.0,0,0,495,16.1,-1,2
2,1,23.0,2,1,235,11.5,-1,2
3,1,33.0,0,0,312,9.5,-1,2
3,1,22.0,0,0,524,7.25,-1,2
3,1,40.0,0,0,389,7.8958,-1,2
