Gender,Age,EstimatedSalary
0,30,79000
0,48,96000
1,24,23000
1,29,75000
1,39,77000
0,58,38000
0,38,80000
0,59,29000
1,31,58000
0,41,30000
0,28,84000
0,54,108000
1,30,87000
0,60,108000
0,46,41000
0,23,48000
0,49,39000
0,24,27000
1,46,117000
1,26,30000
0,31,71000
1,49,74000
1,51,23000
1,39,96000
1,60,83000
0,42,79000
1,47,105000
0,20,36000
0,19,26000
0,35,23000
0,26,35000
1,38,61000
0,20,23000
1,31,74000
0,47,47000
0,39,73000
0,33,69000
1,49,88000
1,33,43000
1,41,72000
1,40,71000
1,29,61000
0,45,131000
0,39,71000
1,23,20000
0,47,144000
1,47,43000
0,28,37000
1,45,79000
1,40,65000
1,29,43000
1,42,54000
1,21,72000
0,36,75000
0,26,118000
0,57,122000
0,43,112000
0,37,71000
1,19,76000
0,50,36000
0,57,26000
0,28,85000
0,46,22000
0,44,39000
1,22,18000
0,56,104000
0,37,80000
1,40,59000
1,42,73000
1,38,61000
0,34,72000
1,25,87000
0,28,44000
1,57,60000
1,30,17000
0,53,143000
1,48,74000
1,46,88000
0,43,133000
1,37,53000
1,42,149000
0,35,77000
0,20,82000
0,27,17000
0,55,130000
1,36,99000
1,25,33000
1,39,42000
0,41,72000
0,26,17000
0,41,63000
1,35,50000
0,54,26000
1,18,52000
0,24,32000
1,49,28000
1,28,79000
1,40,57000
1,46,28000
0,35,44000
1,52,150000
0,32,117000
0,58,47000
1,60,42000
1,38,71000
1,32,18000
1,24,19000
1,37,77000
0,48,35000
0,41,80000
1,59,143000
1,30,80000
1,35,53000
0,27,58000
1,46,23000
1,36,125000
1,29,148000
0,37,93000
0,30,116000
0,48,134000
0,36,63000
1,60,42000
0,37,80000
1,41,59000
1,27,90000
1,49,65000
0,37,78000
1,35,58000
1,29,80000
0,29,83000
0,38,50000
0,35,65000
0,31,118000
0,26,15000
1,35,55000
0,53,104000
0,19,21000
0,35,57000
1,22,81000
1,60,34000
1,26,32000
0,47,113000
1,35,59000
0,59,83000
1,57,74000
1,34,115000
1,26,86000
0,22,27000
1,60,102000
1,39,71000
1,27,58000
0,29,28000
1,36,118000
0,31,89000
0,46,32000
1,40,107000
1,26,15000
1,19,19000
1,35,75000
0,37,146000
1,40,57000
0,39,75000
1,31,18000
0,35,25000
0,51,146000
1,49,89000
0,44,139000
1,40,78000
0,52,138000
0,29,83000
0,33,60000
1,27,89000
0,31,34000
0,57,33000
0,32,150000
1,39,122000
1,46,59000
1,24,58000
0,52,21000
1,35,22000
0,35,47000
1,25,22000
1,40,47000
0,51,134000
0,45,45000
0,49,36000
0,33,41000
0,42,70000
0,27,84000
0,55,125000
1,35,79000
1,55,39000
1,49,28000
1,35,72000
1,54,70000
0,24,55000
0,58,23000
1,30,89000
1,42,64000
0,46,96000
0,48,119000
0,58,95000
0,40,60000
0,32,117000
1,19,25000
0,35,72000
1,24,84000
1,41,52000
0,50,20000
1,47,20000
0,59,42000
0,59,88000
1,56,133000
1,45,32000
0,38,55000
1,31,76000
1,35,38000
1,32,100000
0,41,72000
1,35,73000
1,46,79000
1,28,89000
0,39,79000
0,35,50000
0,52,114000
0,32,86000
0,33,51000
0,24,89000
1,56,60000
0,30,62000
0,40,142000
0,26,72000
1,35,39000
0,52,38000
1,25,90000
1,20,49000
1,35,20000
1,19,85000
1,37,70000
0,27,96000
0,41,51000
1,48,33000
1,45,22000
0,40,72000
1,31,66000
1,26,16000
0,41,60000
1,48,90000
0,54,104000
1,41,45000
0,41,71000
1,59,130000
0,39,134000
0,39,59000
0,37,137000
0,53,34000
0,58,101000
0,18,68000
0,26,84000
1,41,79000
1,40,57000
0,34,25000
1,27,88000
1,30,135000
1,20,86000
0,33,28000
1,42,80000
1,35,75000
0,46,74000
0,28,87000
1,39,42000
0,47,51000
1,30,49000
1,19,70000
0,34,43000
0,27,137000
1,36,60000
1,39,106000
0,35,60000
0,23,66000
