Gender,Age,EstimatedSalary
1,34,135362
1,40,18429
0,32,88476
0,46,61447
0,46,66115
0,51,33569
1,37,116573
1,37,74072
1,55,131265
1,57,105913
1,51,31541
0,33,109256
1,59,136556
0,46,73060
1,37,50255
1,33,52110
0,26,20726
1,45,94018
1,43,63994
1,46,66756
1,33,28174
1,60,115362
0,54,134769
1,48,59855
1,55,57365
0,48,63581
0,59,25780
0,37,77058
0,51,16356
0,53,82029
1,50,113660
0,44,24086
1,25,27273
0,41,83982
0,47,22996
0,34,121038
0,46,61985
0,39,44164
1,32,41297
0,46,29666
0,32,46736
0,46,118111
1,43,53080
0,49,97702
1,32,21313
0,40,64566
0,59,55553
0,51,49863
0,54,15501
1,26,75023
0,56,10339
0,44,56052
1,49,29444
0,43,87291
0,34,118934
0,51,51317
1,47,95962
0,39,28068
0,50,45401
1,58,33771
1,44,25533
1,41,64890
0,37,27435
0,34,119060
0,50,29581
1,51,70603
1,40,117223
1,53,58237
0,43,57879
0,57,38369
1,36,9352
0,62,31378
0,34,30748
1,40,74323
0,47,43780
0,33,121994
0,23,5845
1,51,58986
0,28,65618
0,42,92820
0,62,20405
1,32,98675
0,45,66016
0,34,25463
1,51,136844
0,42,69625
0,48,107371
0,39,58914
1,25,62123
1,35,94170
0,54,72072
1,43,64538
1,32,45264
1,54,46806
1,46,135424
0,45,79485
0,43,126431
0,40,129926
0,41,33422
0,41,35905
1,59,97057
0,39,125161
0,36,128410
1,39,66764
0,35,81385
0,39,7996
0,38,31961
0,43,24111
0,31,139713
1,48,123860
0,48,15761
0,50,69176
1,29,118754
0,32,31749
1,48,98857
0,52,92248
1,39,73892
0,46,76427
1,50,110374
0,21,30555
0,39,113361
0,32,60500
1,47,100509
1,42,108162
1,32,119636
0,44,53118
1,48,25054
0,55,12672
1,40,64620
0,51,68322
1,26,30008
0,30,35195
1,33,132544
0,63,10374
1,26,92719
0,29,73928
1,50,20596
0,28,61637
1,51,82535
1,34,29618
0,37,76936
0,52,64263
0,26,118442
0,40,30746
0,36,135504
0,61,66946
1,38,64313
0,33,18354
0,55,21945
0,42,86929
1,44,24685
1,39,63292
1,34,59413
0,40,39476
0,28,86362
1,23,125389
1,55,70947
0,55,19531
0,32,109401
1,55,60717
1,41,102494
0,34,22747
0,45,5433
0,59,125485
0,26,59185
0,50,74641
0,38,22918
1,34,66144
0,55,36819
0,42,46770
1,33,108418
1,51,97882
1,51,40929
1,57,62146
0,33,115519
0,50,112486
1,32,28504
0,41,86100
1,54,18787
1,49,17554
1,35,23654
1,45,9887
0,47,11001
1,48,76245
0,32,121505
1,51,105682
0,37,106123
1,29,74439
0,34,19238
0,58,107544
0,43,43891
0,49,115678
0,45,70176
0,51,21860
1,28,27996
1,53,47008
1,33,110003
0,37,46512
1,26,31009
0,42,-1292
1,33,74368
0,50,55320
0,51,61455
1,53,99250
0,28,63158
0,29,71637
1,40,55004
0,31,138580
1,37,134075
0,32,109270
1,46,47970
0,26,119908
1,42,34782
1,24,60817
0,21,119014
0,39,33214
1,29,44868
0,44,83296
0,33,54778
0,42,134016
0,33,85226
1,28,39820
0,32,62583
0,38,21490
1,35,131164
0,51,122482
0,27,129275
0,51,46034
1,36,106068
1,47,28502
0,56,116075
1,34,65888
0,44,87273
0,52,83034
0,56,58723
0,54,109689
0,39,109423
1,47,107702
0,31,9042
0,61,48512
1,36,53630
0,42,41895
0,60,101497
0,58,13529
1,49,109677
1,40,13711
1,50,29920
1,52,48903
0,37,10435
1,50,57109
1,50,8862
1,53,109108
0,46,17159
0,46,85561
0,37,32826
1,31,98620
0,45,66612
0,51,80008
0,45,129427
0,39,11697
1,46,103051
0,27,48686
1,41,17859
0,51,46352
0,45,68868
1,60,91158
1,48,132783
0,35,32341
0,42,39243
0,34,25245
0,45,128218
0,40,14647
1,23,30517
0,59,36731
0,37,19048
0,49,34842
0,34,65371
1,27,114595
1,54,59499
0,55,64213
1,38,53138
0,26,119812
0,49,93974
1,33,47696
1,28,33656
1,52,72331
0,55,46936
0,32,109281
1,32,38283
1,34,111280
0,46,46322
1,48,17987
0,38,68728
1,47,49399
1,46,40090
0,34,90544
1,55,69488
1,27,62048
1,26,36230
0,40,51495
0,49,57086
1,34,65445
0,51,107327
0,47,25547
0,46,60455
1,53,58554
1,32,21585
1,39,26604
0,31,65123
1,25,57136
0,37,28901
0,52,152695
0,52,-1441
1,29,41202
0,38,48236
0,45,26471
0,46,102155
0,31,105015
0,34,133333
0,51,43297
0,51,30309
1,56,49053
0,51,55166
1,33,19897
0,52,66340
0,54,112970
0,45,11357
1,46,70140
0,49,112971
1,37,82818
1,57,41401
1,35,79660
0,28,45074
1,24,44851
0,43,97600
1,49,61482
0,37,79658
1,44,67355
0,53,100050
1,43,91735
0,36,91029
0,44,118138
0,48,113506
0,43,29080
0,27,64155
1,44,19003
0,28,89704
0,39,37952
0,34,10161
1,43,16446
0,35,30086
1,39,28624
1,62,15763
1,45,51002
0,33,60684
1,33,19363
1,60,23476
0,50,76061
0,43,102942
0,44,7469
0,35,22495
1,31,22296
0,35,116724
1,56,50980
0,50,22419
1,34,96712
0,40,108358
