Gender,Age,EstimatedSalary
0,22,47224
0,50,23338
0,35,33933
1,36,58583
0,36,30086
1,18,58558
0,24,158158
0,29,64405
1,22,123191
1,36,43336
1,24,73009
1,18,88433
0,34,88643
1,34,75264
1,23,61675
1,27,81109
1,26,127788
1,32,149333
1,60,34318
1,37,24309
1,60,24853
0,26,93059
1,34,52719
1,45,81916
0,45,28585
1,35,51491
0,26,27695
1,37,81824
1,21,79876
1,29,148937
1,24,48589
1,18,35538
0,35,86039
1,24,47804
1,24,28906
1,38,41750
0,23,91845
1,31,64166
0,35,120948
0,25,33647
1,33,41727
1,32,68761
1,23,42035
1,30,28452
0,37,63285
0,26,69752
1,47,62550
0,32,52209
1,29,48368
0,39,112407
0,23,35881
1,39,74162
0,18,13322
1,18,34331
0,37,67031
0,23,65901
1,27,109939
0,49,80804
1,28,34716
0,33,126137
1,39,100952
1,32,28451
0,19,35701
1,31,42335
0,37,92911
0,20,55533
1,35,118788
1,33,14388
0,27,30935
0,37,68172
1,23,60425
0,19,48152
1,24,26299
0,48,35983
1,26,80581
0,27,52265
1,38,71371
0,33,107939
1,30,74710
0,25,71186
1,45,142666
0,32,68089
1,32,60953
0,20,62972
0,40,38290
1,33,44234
0,60,29230
0,35,72350
1,38,66818
0,20,38822
1,28,30307
1,30,90080
0,26,60499
0,44,42326
1,36,22665
1,33,67033
1,24,49107
1,30,14126
0,20,120771
0,38,112564
0,35,23923
1,37,88233
1,38,68159
1,36,80811
0,35,62124
1,19,127014
0,37,64991
0,31,119919
1,31,56051
1,36,124315
1,33,79242
1,27,110147
0,39,31662
1,38,25512
1,39,42000
0,20,88674
1,24,99571
0,36,16136
1,21,30588
1,34,30095
1,21,33133
1,35,62312
1,19,76623
0,22,38783
0,35,49588
0,34,30523
1,41,72333
1,33,116534
1,30,64964
1,37,57981
0,42,66871
1,25,62454
0,50,61187
0,18,23036
1,26,28027
1,32,159731
0,34,44187
0,40,85995
0,36,78037
1,42,73625
0,19,48093
1,24,70350
1,25,23311
1,28,76434
1,48,71250
1,32,30355
1,22,74233
0,39,60012
1,25,18406
1,29,80373
1,26,82651
0,41,63956
0,44,19727
0,29,132378
0,21,30645
0,60,53279
1,23,84885
1,25,48772
0,33,59034
0,38,77389
1,58,24259
1,46,74769
0,28,37565
1,32,49940
0,21,115273
1,23,69477
1,40,54328
0,29,43644
0,33,52595
0,40,69966
1,18,103807
1,31,33117
0,35,30961
1,42,49136
0,23,27007
0,18,28201
1,24,27645
1,39,43681
1,42,45614
1,34,68497
0,27,63660
1,28,60384
0,60,108188
0,45,110080
1,22,76803
1,27,45250
0,37,94417
1,21,28748
0,23,73153
1,24,20847
1,35,40414
1,28,101518
0,36,46595
1,28,78675
1,22,64460
1,42,136295
1,29,35003
1,33,51532
1,25,45717
1,30,32620
0,36,9859
1,30,71984
1,36,34237
1,36,70344
0,21,128801
1,31,59194
1,21,60642
1,23,46037
1,29,66638
0,40,68733
1,31,67409
1,36,48538
1,25,35086
0,33,30022
0,18,62710
1,24,117210
1,36,15794
1,25,66651
1,45,26613
1,37,54450
1,18,33251
0,33,66860
0,55,55463
1,39,21728
0,30,76779
1,20,94293
1,22,46951
1,32,9798
1,60,98620
0,35,37908
1,21,97053
0,41,20529
1,29,77717
0,22,56578
1,18,28248
0,24,37899
1,25,58852
0,31,108865
1,33,49911
1,29,79406
1,20,41996
1,27,32444
0,26,45106
0,25,39348
0,23,44633
1,28,55876
0,27,43362
0,33,39597
0,33,25005
1,29,78781
1,34,70914
1,34,58809
0,33,58248
0,43,63209
1,25,71713
0,36,23490
1,24,30282
0,25,25810
0,27,74358
0,35,73524
1,29,56270
0,33,38079
0,28,65624
1,29,95932
1,39,114140
1,24,63737
1,30,95196
1,23,99840
0,32,39236
0,40,41757
0,33,70061
0,40,70657
1,30,137949
0,24,37183
0,30,28283
1,34,65930
0,30,65291
1,39,88275
1,41,33117
1,23,26070
0,27,39067
1,40,62404
1,29,117476
1,23,75721
1,53,61301
1,35,58968
1,25,137211
1,58,158445
1,35,71378
0,30,50646
0,42,72700
1,26,66919
1,42,65668
0,44,63293
1,43,22688
1,37,20791
1,23,65589
0,33,27544
0,31,55138
1,22,72394
1,38,58970
1,31,82611
1,20,107497
1,33,38741
1,36,111927
0,47,33963
1,20,27818
1,50,59539
1,29,33410
1,42,65428
1,39,114101
0,19,43433
0,29,11676
1,38,96495
1,28,87340
1,47,72091
1,41,91719
0,44,126038
0,38,68232
1,41,99508
1,29,125387
1,34,131141
0,31,63987
0,50,31582
1,40,72583
1,33,34127
0,36,69139
0,38,79150
0,36,87393
1,24,71021
0,33,20766
1,23,26040
0,35,58984
1,39,35176
1,28,131354
1,29,79712
0,36,33810
1,48,91608
1,21,73224
1,27,72918
1,27,107299
1,31,121405
1,35,36970
1,24,69952
0,28,44359
0,36,30698
1,29,41310
1,35,83089
0,31,17025
0,28,82464
1,44,17241
1,19,24050
1,25,143182
1,39,116745
1,36,72841
0,32,71920
1,26,50193
1,54,62450
0,33,122660
1,32,45506
1,23,78075
0,18,43688
1,21,106792
1,37,65912
0,27,83333
1,23,49480
0,39,66827
