age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
43,4,138418,15,9,3,9,3,0,0,469,10,54,38
42,0,191876,11,8,2,8,0,3,0,447,-14,51,34
59,0,20240,15,6,0,3,3,1,0,199,17,72,38
69,1,167325,7,12,4,0,0,0,1,-79,0,39,38
41,4,300793,8,8,3,2,3,2,0,11255,28,97,38
41,1,191211,1,16,3,0,3,4,0,349,-18,0,21
28,7,97051,8,15,0,7,2,0,0,108,32,38,-15
44,5,134975,10,10,3,0,4,0,0,46,-31,27,38
74,4,110370,8,9,3,7,3,3,0,-155,-20,38,38
46,5,187278,9,4,5,4,1,2,0,74,1915,16,15
51,2,135277,15,11,0,10,0,1,0,-148,7,23,7
57,4,127820,9,11,0,4,4,2,0,147,-10,42,16
49,0,78361,9,8,4,10,1,3,0,4557,-2,38,17
47,2,201262,12,13,4,9,1,1,0,317,19,32,38
69,0,123357,12,13,4,7,3,3,0,-79,1621,39,38
53,1,225412,14,10,2,3,2,4,0,-26,-20,39,5
69,4,115802,10,9,4,8,3,3,1,-122,27,32,23
44,5,155739,13,5,3,1,2,3,1,6848,1,-1,4
42,5,307164,10,9,3,3,4,3,0,2750,2,30,38
50,6,130890,11,8,4,3,6,1,0,-204,-7,26,14
42,5,72375,15,12,5,6,4,4,0,11677,-6,51,38
34,1,345904,15,5,4,1,3,4,0,447,-3,-5,38
30,5,78710,10,9,4,10,1,0,1,22916,31,43,-7
50,0,86097,10,5,0,10,0,4,0,-120,5,66,-15
56,1,173535,12,8,4,8,0,3,0,-196,-1,34,38
74,4,95918,10,10,5,2,5,3,0,343,2315,47,39
31,2,213590,11,12,1,9,0,2,0,268,18,78,38
63,6,236532,10,8,2,2,3,3,1,155,-22,18,39
31,2,227120,14,6,2,2,1,3,0,20495,-31,66,38
47,4,139701,9,12,1,2,0,2,0,2138,2715,43,38
54,6,137296,3,13,0,-1,3,4,0,-25,-8,46,38
31,6,88604,0,0,4,10,1,0,0,-132,-13,27,18
22,3,10946,11,9,6,5,2,4,0,2698,6,15,8
59,4,180663,9,9,5,6,3,1,0,21312,-14,70,21
59,5,154467,7,12,3,-1,5,3,0,214,11,39,33
48,3,260068,14,12,2,0,0,2,0,5969,1943,18,12
