age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
60,6,237957,11,9,2,4,2,4,1,182,26,82,39
50,4,147766,11,9,2,1,0,4,1,25157,11,40,26
39,2,281296,13,10,2,4,4,4,1,7318,-14,50,22
61,0,102441,2,12,6,0,3,0,1,10628,2601,29,39
22,4,196209,-2,9,6,4,3,4,0,-190,2201,61,-1
28,4,172122,9,9,2,7,1,2,0,-136,13,25,39
61,4,134412,2,9,0,0,3,4,1,-33,-11,46,38
87,4,244510,7,13,3,3,5,4,1,3533,-1,41,26
41,-1,234344,4,16,2,9,4,4,0,-176,2,33,-2
56,4,301612,9,9,6,11,3,4,1,2350,17,30,24
40,4,38128,9,8,2,2,1,4,1,11036,-11,42,31
18,4,557454,-4,10,6,13,0,3,1,-2195,2233,28,40
36,2,76344,15,12,2,2,1,3,0,133,12,58,43
17,4,208245,12,10,2,0,1,4,1,81,12,1,39
33,4,163092,11,7,2,0,3,4,0,2894,5,13,23
18,1,425308,9,14,5,0,3,3,1,124,-7,40,39
34,1,461074,11,10,4,13,1,4,1,12128,1896,9,39
51,4,218134,15,10,4,1,1,4,0,10477,-3,53,28
37,6,222082,12,12,2,5,3,4,1,128,-6,26,24
32,0,180183,11,7,0,0,1,4,1,47,-1,47,38
28,4,70068,12,8,0,6,4,4,1,10554,1627,10,39
20,4,15419,11,10,0,0,4,4,1,76,2683,39,49
89,-1,164175,-3,11,4,3,0,3,1,16020,9,29,13
35,4,99354,11,9,2,1,4,-1,1,1064,2502,15,39
17,3,149483,9,5,4,0,4,2,1,7116,1928,34,19
32,1,61845,11,8,2,8,1,4,1,27568,-14,39,42
53,0,122190,9,9,2,4,1,4,1,4579,3,39,20
39,4,122528,13,9,6,3,0,4,1,16953,1613,79,39
69,4,175103,8,14,0,2,4,4,1,-117,30,41,21
45,4,372974,9,12,0,6,3,4,1,-4063,20,8,39
37,5,279152,12,7,4,6,4,1,1,-71,-12,43,39
30,6,133848,11,9,0,7,1,4,1,1322,2123,45,13
45,5,287699,9,1,2,0,4,4,1,510,19,39,38
17,4,530292,9,10,0,10,1,4,1,175,27,56,39
41,1,218735,9,9,2,6,0,4,0,121,2001,39,38
47,5,210267,13,11,4,1,6,2,0,18498,16,40,39
32,6,246421,11,7,0,0,3,4,1,2088,2218,40,43
19,8,15232,11,9,2,6,0,1,0,-102,26,32,39
17,4,337430,11,4,3,4,0,4,0,2806,6,29,39
46,5,96623,8,7,4,5,5,4,0,11892,8,80,3
44,4,43274,8,10,0,0,3,4,1,23853,-24,39,29
68,2,253694,11,10,3,9,3,1,1,-96,2467,51,39
62,0,48997,10,10,2,2,2,4,0,9414,13,32,12
52,4,203222,11,10,6,14,0,4,1,-238,2291,18,4
17,4,196756,11,5,6,6,3,2,1,59,22,35,20
30,4,283757,11,13,0,14,6,4,1,33161,20,55,39
29,7,164501,3,10,6,1,4,4,1,4009,1493,76,27
45,-1,158663,5,8,5,14,0,-1,1,-106,-19,43,28
56,5,352166,11,7,0,5,4,4,1,-37,2302,28,18
52,1,200331,9,7,2,10,0,4,1,2781,-4,16,2
52,-2,87924,11,10,0,12,5,4,1,35693,-33,64,39
26,-1,165283,15,9,6,0,4,1,0,3795,-4,25,38
56,4,356752,15,13,2,0,1,1,0,-143,1581,109,39
70,4,110936,-6,10,6,1,2,0,0,6809,9,59,38
18,4,117641,8,10,2,14,0,0,1,29385,1,38,38
31,2,372703,9,9,4,5,2,4,0,4605,1997,34,39
17,4,137898,3,13,2,8,0,4,1,-4901,15,55,39
65,2,64471,11,9,4,14,3,4,1,-14,2276,9,39
36,4,85084,11,10,5,10,1,0,1,55,-7,40,39
