age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
33,1,149419,14,8,4,2,3,4,0,-4575,393,31,38
59,5,87128,14,14,1,3,1,4,1,-2819,519,42,43
41,5,368093,7,11,2,13,2,4,1,4432,-693,42,51
49,3,190415,11,9,2,3,2,4,0,-5829,-950,44,37
27,4,166506,9,9,3,3,1,4,1,2573,-284,33,37
37,5,322346,12,11,2,10,4,4,1,9912,-266,30,47
49,5,98487,10,11,2,9,2,4,1,-772,79,40,36
45,7,194068,13,13,3,6,-1,4,2,1493,437,58,26
52,5,94869,13,11,1,13,0,4,2,7278,-1297,44,35
36,4,147344,12,12,2,3,1,4,1,1960,164,58,36
64,4,139127,17,9,0,2,2,4,0,-6204,-13,51,35
47,2,354991,8,5,2,4,1,4,0,-1976,562,26,31
31,2,231423,6,7,6,11,3,4,0,1731,-210,56,34
34,4,241728,6,10,3,4,-1,4,1,6073,2,44,35
29,3,198480,18,10,3,2,1,4,0,10081,276,28,45
20,4,466022,11,5,5,2,-1,4,1,-10302,116,30,26
46,4,258435,11,9,4,3,0,4,0,5712,-360,31,22
29,4,191513,13,8,1,8,2,4,1,-8317,97,26,42
52,4,156210,12,12,0,7,2,4,1,3208,-154,48,37
39,3,141148,16,10,5,3,0,4,1,3235,145,39,34
66,4,149921,7,6,4,5,2,4,1,4562,201,44,39
36,4,178799,9,11,3,12,1,4,1,605,309,48,53
46,3,190852,11,11,2,1,3,4,1,-1015,297,42,47
46,4,150770,16,12,5,9,0,4,1,-3089,168,66,44
20,4,55532,12,10,1,13,3,4,1,-9689,-371,36,28
59,4,422251,6,10,3,14,1,4,0,13001,54,28,26
27,5,230223,11,12,6,6,1,4,1,1767,142,41,35
49,4,185091,10,12,2,5,0,4,1,-2744,85,38,37
37,4,194608,12,12,3,4,-1,4,1,-2153,-287,40,34
41,3,166345,5,9,4,1,2,4,1,6532,810,42,33
52,5,91377,11,16,2,10,-1,4,1,-4535,948,46,28
48,4,77498,12,12,0,7,-1,4,2,-7627,175,47,44
37,5,215107,13,10,1,7,1,4,1,-4221,19,53,44
43,4,188979,13,11,5,3,3,4,0,3734,204,38,48
32,3,632552,6,7,3,3,1,4,1,2266,767,33,38
41,6,308387,13,7,1,5,1,4,1,3062,-317,40,39
23,4,177787,11,6,1,7,2,4,0,-9222,49,52,39
28,5,197758,7,9,2,10,0,4,0,273,-252,56,40
41,6,319899,9,9,2,2,0,4,1,11771,217,43,37
52,4,415177,3,4,2,12,2,4,1,-2344,606,54,29
33,4,156861,8,9,0,10,3,4,0,-595,-543,46,32
41,4,243632,7,7,1,5,0,4,1,-7413,54,44,33
61,5,266421,11,9,1,6,1,4,1,-1096,222,37,39
53,3,181486,6,9,3,2,3,4,0,-3135,34,50,44
50,4,130462,11,12,0,9,2,4,1,1241,996,52,23
18,4,943223,2,6,5,5,0,4,1,-1769,302,53,44
45,5,188124,5,7,1,7,3,4,1,-8693,-71,37,44
42,3,87196,9,10,1,0,1,4,1,-73,275,52,44
48,6,294803,11,11,5,4,2,4,0,13621,-224,32,40
50,3,198752,11,11,3,4,-1,4,1,9653,-69,40,36
74,4,167457,2,10,2,13,0,4,2,11958,-234,43,28
46,3,873023,12,11,2,11,1,4,1,2391,227,30,32
43,5,146939,16,11,1,11,-2,4,2,-6810,127,48,49
58,5,132464,10,5,2,3,1,4,1,199,-57,45,24
29,2,229848,4,10,6,1,6,4,0,2190,-686,30,23
49,4,140848,10,11,5,4,-1,4,1,8662,483,38,35
41,4,1183656,9,10,2,9,0,4,1,-3983,839,47,35
33,5,217095,13,12,2,11,2,4,0,-1448,18,35,42
36,4,607536,10,10,0,13,0,4,1,270,719,17,35
28,4,178827,15,8,2,8,4,4,0,2085,96,56,41
36,5,211011,18,14,4,7,2,4,0,-3972,59,48,43
20,1,301179,7,5,4,0,2,4,0,-8707,579,32,37
21,4,114677,11,10,2,7,5,4,0,224,-530,47,38
28,3,526835,12,9,3,6,2,4,0,3311,169,34,33
37,3,362346,9,10,1,2,0,4,1,-7187,-548,41,35
46,5,106407,6,11,4,12,-2,4,2,5142,625,68,34
38,3,161197,15,11,2,7,3,4,0,5014,468,50,32
27,4,197397,10,9,1,5,3,4,0,7717,36,57,35
39,5,199217,18,11,2,10,1,4,0,9314,-289,25,37
45,3,161338,10,5,1,1,1,4,0,3103,636,44,38
41,3,171105,5,7,0,9,0,4,1,-11435,-211,40,33
70,4,267951,9,11,0,12,2,4,1,-567,547,56,38
36,5,190184,15,11,2,9,4,4,0,3436,678,34,40
62,5,98253,13,8,1,14,1,4,1,9560,-552,40,29
50,4,114347,25,9,3,9,1,4,1,10584,226,53,25
60,4,192258,14,9,5,6,1,4,0,8275,-198,57,36
41,5,388924,13,11,5,11,0,4,1,-1130,902,42,42
45,4,76907,2,8,3,7,2,4,0,-1177,22,14,38
49,4,81490,14,10,1,8,4,4,1,-3018,162,30,37
44,6,320230,6,5,1,6,0,4,1,8712,-127,54,32
29,1,334685,7,9,3,0,2,4,1,-4393,-541,55,26
26,3,514075,8,11,2,6,2,4,0,-504,255,61,35
34,4,137350,7,11,3,0,3,4,0,1762,324,21,24
33,5,311416,12,10,4,12,0,4,1,-2109,592,34,42
49,5,154233,10,6,2,5,2,4,1,-1783,-405,52,43
42,5,206757,6,8,0,9,2,4,1,11913,302,52,48
49,3,122370,8,11,3,6,2,4,0,-2910,392,34,31
46,5,444696,4,10,5,14,2,4,1,-9015,-149,32,44
24,3,75766,9,10,3,2,1,4,1,2251,580,42,37
55,4,150236,10,13,3,6,-2,4,2,-4391,-136,55,35
28,4,341406,10,8,5,6,3,4,0,10433,202,58,24
37,4,200895,10,11,5,0,-1,4,2,9974,10,47,50
25,2,272986,11,13,4,2,2,4,0,-5818,-80,32,48
30,3,164038,11,8,4,5,3,4,1,-7094,516,50,38
46,4,305273,6,10,4,6,0,4,1,18506,-253,38,33
41,4,159107,10,11,2,4,4,4,-1,-6563,-432,25,32
47,4,165697,12,14,4,12,2,4,1,-2664,-196,33,38
40,4,176479,7,10,4,10,0,4,1,3788,80,28,35
21,4,150460,12,6,5,4,4,4,1,3901,734,41,38
20,4,181415,15,11,1,3,3,4,1,307,9,44,59
19,4,204925,14,6,0,12,2,4,0,-8265,-279,45,36
46,4,216201,11,19,3,10,1,4,1,15396,291,47,29
34,4,132805,9,8,1,1,5,4,1,-8281,804,38,43
31,4,147123,10,7,4,3,2,4,1,5298,-76,15,35
31,5,61566,12,12,3,10,1,4,0,-11628,-401,55,45
30,3,223299,1,11,3,6,2,4,0,632,437,23,32
29,3,191022,8,8,1,6,2,4,1,2356,-2,43,34
38,8,285015,7,13,2,13,-1,4,1,-575,234,57,40
33,6,240185,10,14,5,12,2,4,1,3493,272,49,47
47,4,745908,14,11,1,12,3,4,0,-3627,-54,44,26
46,4,161379,6,9,3,5,1,4,1,-5833,370,37,34
31,4,52064,10,11,1,5,2,4,1,1278,94,48,28
47,4,218634,13,10,0,13,-1,4,1,820,-578,53,53
34,2,155285,10,10,2,12,3,4,1,10591,150,47,45
49,4,125067,10,11,1,11,3,4,1,8577,-292,49,38
44,4,126084,10,2,3,4,1,4,1,8561,-240,21,30
23,6,482955,14,10,4,12,1,4,1,13282,-343,46,48
58,4,163223,13,15,4,10,4,4,0,-1173,345,9,31
36,3,87375,18,11,1,6,-1,4,1,2446,-122,43,34
45,3,344882,13,12,2,11,3,4,2,11998,176,49,38
82,4,173448,9,10,2,4,-2,4,1,12093,66,51,23
42,4,275642,8,13,2,7,0,4,1,3434,578,24,23
18,4,54782,14,11,2,9,2,4,1,-12762,571,63,34
18,3,179103,13,9,5,3,2,4,1,-1855,-315,46,45
51,4,80082,10,8,1,2,1,4,1,4043,-837,30,52
50,3,77892,6,11,4,0,1,196,1,5495,-33,46,49
27,7,209503,10,9,2,3,0,4,1,893,-234,28,44
58,4,171618,11,10,1,13,0,4,1,-1927,389,64,30
47,4,206185,13,11,0,14,1,4,0,-6016,-655,55,42
46,3,200290,12,17,5,2,3,4,1,-3263,440,14,32
35,4,137344,3,3,4,14,0,4,1,3305,595,30,27
20,4,132250,13,10,1,11,1,4,1,3570,32,48,25
56,4,194320,11,10,0,8,2,4,1,14241,79,51,40
32,3,213771,14,9,3,5,3,4,0,-552,464,39,55
33,4,243113,14,8,1,1,4,4,0,-9356,261,26,30
36,5,407062,10,12,1,10,1,4,1,12793,228,48,27
34,3,256642,5,8,4,9,1,4,1,8963,423,42,30
61,4,186178,10,11,3,11,3,4,0,-14903,596,25,38
66,6,189447,14,14,4,5,1,4,1,8460,533,55,36
20,4,676336,18,12,5,4,2,4,2,-7845,647,25,47
21,4,140804,11,11,1,2,3,4,1,-2012,196,42,9
31,4,192532,4,11,3,0,2,4,1,-533,86,9,34
68,4,94768,8,9,2,5,1,4,0,-10566,157,54,29
41,6,130146,14,14,2,12,1,4,0,9891,-110,44,47
57,4,52591,12,17,4,6,0,4,1,304,-152,48,56
57,5,271351,9,11,5,12,1,4,1,3677,90,64,40
70,5,61253,9,9,3,11,0,4,1,2224,-179,33,29
26,4,458663,10,12,5,11,3,4,0,-14740,825,25,44
35,4,246650,4,6,1,8,5,4,0,-2389,-160,50,42
28,4,185272,5,10,3,8,1,4,1,6843,642,44,34
45,5,363691,9,10,3,8,2,4,0,3881,14,49,27
35,3,174009,14,10,2,3,3,4,0,-4414,-480,19,28
