Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
2,0,17.005688140357286,0,0,161,243.27617126918963,21,0
0,1,16.69538643070934,0,0,558,38.66998323027252,1,2
0,1,15.54521575780745,5,0,351,21.220340632912826,51,0
1,1,22.988063312478054,0,7,342,-4.570310325129636,128,0
1,1,25.277226752002736,0,0,601,-1.5550539213052303,-1,0
2,1,31.28842218010688,1,0,76,490.5096420851767,108,0
0,0,3.6562735155087163,0,0,422,70.48913845117963,47,0
2,0,12.240489148817208,0,2,32,56.066736104615245,-4,2
2,0,23.728379047296666,0,0,-60,12.307229995417048,72,1
2,0,16.02495240993766,1,5,259,2.7444479190219226,-2,0
3,1,-2.189909749257618,0,0,606,25.524414401577573,34,1
2,1,23.969177791970687,0,2,607,-0.15974765752906706,0,0
3,0,16.654960867472198,0,0,539,2.1014392648050446,-1,1
0,0,18.716280203877808,0,0,415,2.4536279246872894,81,0
2,1,38.77358603463799,0,1,589,11.290376134012785,-5,0
2,0,17.90790848700413,0,1,555,34.11576239550148,110,1
1,1,-1.825250333503,0,0,179,16.23036135090916,117,1
1,0,21.53084718191717,0,2,-82,65.29914193490056,142,1
1,0,15.053407081625025,0,0,71,-1.2792419291873962,39,1
1,0,28.57782801232557,0,0,439,14.543431378266476,57,0
3,0,-1.6774479272266607,1,0,158,9.062625470599059,-2,0
0,1,31.549446177106923,1,3,214,-164.23991678425563,70,1
1,1,33.60543886398353,1,0,478,0.3037442176936249,0,0
3,0,-8.546806917172875,0,2,50,2.339165558758724,2,0
2,0,48.070657202586176,0,0,320,4.785426693705397,32,0
1,0,1.1422864107272446,1,4,252,-5.759502799546741,1,0
2,1,10.167835742967561,2,0,619,40.15592030611553,4,0
0,0,20.60376447847943,1,0,362,145.28928017393648,41,2
1,0,20.543467369094586,0,0,228,127.0115649193965,4,0
1,1,22.634220158452326,3,1,522,3.663371593045733,44,1
1,0,19.50074260735306,0,1,465,-65.72703895427128,161,0
1,0,26.433363558026695,0,1,312,27.29361257160488,147,0
1,0,52.721233315317036,0,1,98,44.85619746894018,24,1
1,0,18.50234451432522,0,7,220,41.053031327886146,86,1
1,0,16.968192734327353,1,4,305,12.400783384039801,149,0
2,1,0.9337561115370709,0,6,146,-3.013295690966423,70,0
2,0,7.939601352485452,3,4,506,3.1037508111816567,151,1
1,1,37.02288011883809,0,1,505,15.359652371728428,83,1
0,0,16.044124989097153,3,4,708,12.770209701889152,3,1
0,0,21.264775387411014,0,0,562,274.87876495977673,6,2
3,0,4.471750244058228,4,1,277,-2.190826639514377,57,2
2,1,19.28051040811759,0,1,393,87.5890073606494,26,1
1,0,17.229601200554086,3,4,494,-0.31564131140416407,0,0
2,0,32.248804909628646,0,2,519,6.5408226770251545,3,1
2,0,45.25676195643999,0,1,354,46.630082726873525,0,0
1,0,33.182227689004684,2,0,330,-45.453487737076614,1,1
2,0,24.674177924989444,0,1,588,-0.7701449328303802,84,1
3,1,41.48307362335094,2,7,612,63.925051281319675,0,0
1,1,20.908941790506326,0,0,92,8.22972885031983,44,1
1,0,23.28232267673357,0,2,310,47.508274144727956,99,2
1,0,24.807259760190696,2,6,191,378.2293976617816,0,0
3,1,24.20034374925518,0,0,225,-283.2514459607763,163,0
1,1,12.804300442323946,1,0,438,408.48456500330656,28,0
2,0,17.898468701448223,1,2,558,33.512007140804656,10,0
1,1,17.96184575362286,1,0,174,0.4071870625725289,0,0
1,1,14.863837029644877,0,1,-5,107.42416283041814,62,2
2,1,29.44761249489912,0,1,458,5.907426239251621,164,2
0,1,29.93845966761765,0,4,99,-4.77970999161913,85,1
0,1,28.073063511968297,1,4,504,18.277196873471468,113,1
2,1,25.047611626854938,0,1,168,71.42194566504496,-1,1
1,0,23.12357766887404,0,3,371,31.68415580802169,0,2
2,1,17.26145840563853,1,4,171,1.1266366018315352,39,0
1,0,12.935705691246447,0,0,227,-25.957185087277992,0,2
3,1,11.12058280342994,0,0,693,5.854504086159668,170,1
1,1,11.364145602775798,0,0,568,67.88624326566772,-1,1
1,1,21.25283650285499,0,0,511,41.179601821197735,52,0
3,0,15.352431428769913,0,1,594,4.985330313139344,43,1
2,1,21.697109630430923,3,0,406,50.724210273604044,26,0
1,1,13.627990143482315,1,1,55,71.706585641302,0,0
2,0,26.149131302134208,0,0,554,8.143178377769832,75,1
1,0,12.41672960158538,1,1,151,23.925419867218984,-3,0
1,1,12.357621353096338,1,1,424,43.649522819298404,159,1
2,0,25.818531073066865,0,2,84,53.699044371368984,157,0
1,0,21.36851708311831,0,0,400,78.62377075701136,149,0
2,0,16.1308772575053,1,5,509,583.0504046119197,0,1
0,1,13.208037588253893,1,0,550,27.656577195542496,1,2
2,1,25.13297122614458,0,0,536,21.554323135805074,1,0
1,1,18.364167801139878,0,4,20,1.0750996610595198,-1,0
0,0,13.87843377953702,1,0,456,-38.37972766091701,121,1
0,1,17.583464466623717,0,5,51,8.69255755877768,50,1
0,0,15.32212256394288,0,4,162,6.670477605576351,145,2
0,1,27.988384899338755,2,5,397,5.044398895166219,44,1
1,0,4.23062995664022,4,2,315,207.35451570744806,-1,0
1,1,15.92654341761098,3,5,419,89.51061938192424,154,1
0,1,31.726644978145192,0,0,526,1.7444126019930462,0,2
2,0,7.657786659490483,0,1,322,49.99375595364859,71,2
2,1,2.80107790425959,0,0,56,35.966061310761035,118,1
2,0,21.007990594874812,0,1,76,5.999557523637758,117,1
2,0,3.397230305628753,3,0,157,79.09022721196345,88,1
1,1,26.128774124926558,0,0,585,2.2872136809247436,153,1
1,0,-0.12671799568216002,0,1,262,24.95585730388156,0,0
1,0,21.731180074564286,1,0,186,20.747807802020592,180,1
3,0,26.096860230702816,0,0,262,2.498751859369987,51,1
2,0,9.2787507840095,0,0,579,70.19505953502349,0,0
2,1,19.817155171090338,1,1,278,120.24541755698093,118,2
1,0,25.13359794641363,0,0,245,-1.3111588126648108,-3,1
1,0,-4.513844972789887,1,0,494,-2.057999071339424,-3,1
1,1,14.51072855976911,0,6,137,189.51246440303998,-1,2
0,0,11.436107437352206,0,0,77,-184.81842694317567,110,0
2,0,54.03850701772163,2,0,607,20.654050384115074,37,0
1,0,19.84849790240016,0,0,606,28.7831921761386,142,0
2,0,39.67017469023207,0,0,275,46.254295157545,137,1
1,1,26.262362129919822,1,0,650,473.7635057679501,0,1
0,0,9.530126340138828,3,1,295,0.07429657725462135,2,1
2,1,14.682942871159467,0,0,340,-13.24742458519026,0,2
0,0,-9.367903726709086,3,1,274,31.196544839925224,0,0
