Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,16.135155386497033,0,0,1,162.35185327141318,104,2
1,1,28.07160000078971,0,0,316,13.332835645721193,4,1
1,1,53.79475099062988,0,0,519,63.73973272161314,135,0
2,1,65.94121487116337,0,0,516,26.968042608088847,-7,2
1,1,23.912939546212357,0,0,485,1.184988116419504,108,2
1,1,31.336725565853317,0,0,31,68.42486323816253,42,0
1,1,19.472495911354205,0,0,26,42.31218925926299,1,2
1,0,69.61313885484503,0,0,298,8.189482441595676,121,2
2,1,2.6021660230920496,0,0,232,25.76659971083121,6,2
3,1,51.39087220550663,0,0,595,20.42811565132889,38,0
2,0,21.972049704174907,0,0,550,113.64794923044633,60,2
1,1,23.619844369536153,0,0,14,9.759254308524564,40,2
2,0,23.69142916310353,0,0,534,6.537176636648642,0,2
3,0,24.1800941121938,0,0,336,-34.44560886623536,-4,2
1,0,11.156250257554461,0,0,248,61.488572478057094,64,1
1,0,18.638157301286252,0,0,680,22.704357961993693,-4,1
2,0,14.28532736504991,0,0,680,53.87257656455926,35,2
1,0,6.013810226083962,0,0,366,0.24826686117908991,-2,1
1,1,26.83382318273729,0,0,276,15.57256230954723,1,2
1,1,62.706897730555205,0,0,113,17.319466597146132,121,2
3,0,25.52297686580794,0,0,352,116.18658193564004,-1,0
2,1,-8.361639350419537,0,0,568,36.966308245528566,-3,0
1,1,18.907260978587264,0,0,487,11.482406257928321,6,2
3,0,59.743684063857,0,0,308,95.72461078203924,35,1
3,0,0.1672497707171523,0,0,20,65.77146957727987,3,2
2,1,24.393111198932033,0,0,131,172.8414257826025,-1,2
1,1,28.668341478148026,0,0,420,11.59882392162481,0,0
3,1,16.601785739278554,0,0,26,17.613339918384717,106,0
1,1,21.903471838388633,0,0,617,12.784786502350507,-4,1
1,1,59.1986056344455,0,0,680,14.543110492152717,3,0
3,0,50.62150661915061,0,0,4,155.91491842890636,100,0
3,0,34.12507834552044,0,0,392,59.009367976750006,64,2
2,1,19.730196096193346,0,0,680,55.94072767010927,78,1
3,1,47.60022752226943,0,0,680,16.281863324856253,-5,1
3,0,46.698540168586405,0,0,268,9.100011425669958,87,0
2,0,69.32795167344344,0,0,342,3.44335392415854,107,1
1,1,29.63503245701943,0,0,1,15.76228545552452,55,2
1,0,30.895532535793933,0,0,315,14.4165586224516,80,2
2,1,28.67143909653616,0,0,637,15.636260120436045,-4,2
3,0,33.74161039481974,0,0,228,4.687711923285757,66,2
1,1,7.237115616726385,0,0,1,3.083016833738263,59,2
2,0,-9.408017554832853,0,0,399,8.214341887680447,89,0
1,0,31.386956629056737,0,0,186,27.7870689755613,43,2
1,0,46.74280789727928,0,0,2,1.6240422507095928,78,0
1,1,18.84971365325768,0,0,606,7.561709514579125,71,2
1,0,61.02450968100196,0,0,613,82.44361858449685,100,0
2,0,27.942173704295083,0,0,343,166.37231261554248,1,0
2,1,22.623716520769232,0,0,178,317.85973528117165,-3,1
3,1,23.675556038538584,0,0,634,32.85409125373391,123,0
1,0,28.825047534249762,0,0,47,49.954719477670295,73,1
1,1,28.187681506501008,0,0,252,4.831488524698823,54,2
