Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
2,1,50.348007316666454,0,0,578,-3.0540695910767113,24,2
3,1,37.81898123309868,0,0,482,-8.977545419059943,72,19
2,0,33.675605779725224,0,0,661,124.86783100213691,71,-1
1,1,53.01429814957582,0,0,2,63.290597164077184,62,0
2,0,29.035617326280473,0,0,207,16.548729606051232,17,0
2,0,48.52579916575589,0,0,658,34.15751800108424,-38,1
4,1,10.851751725376445,0,0,533,-39.76272561871768,-43,-1
2,0,14.615028069581049,0,0,221,92.71289515422419,39,29
1,2,48.66418236539672,0,0,219,109.57804704066821,57,1
3,0,22.01477786563032,0,0,620,-5.335539335919059,-28,3
4,1,27.835177413321112,0,0,619,21.288469548467884,-33,0
2,1,63.98665702836618,0,0,381,-27.557721713668066,-3,-1
2,0,46.44731755170343,0,0,469,2.4361859243749215,72,4
1,1,42.43265493076799,0,0,104,23.057496812112312,102,0
2,0,31.12929548034785,0,0,589,57.508072193725944,38,-1
2,1,36.224750440897985,0,0,385,50.30532466504844,19,-1
0,0,24.31364202871714,0,0,241,182.93212055496292,82,0
2,0,36.3835597714681,0,0,156,5.290531454319929,50,8
1,0,32.34257293259704,0,0,350,49.24771661084762,50,4
1,0,42.764539489914576,0,0,154,42.92198396018548,61,2
2,0,38.22897894406693,0,0,230,24.30777411494016,52,3
3,1,23.004773112729264,0,0,411,-54.5730027763217,-5,6
3,1,31.779696555401173,0,0,445,65.54174608173443,3,-1
3,0,29.456731858651867,0,0,379,-15.731721806076365,26,0
3,0,25.807914813069246,0,0,531,20.55911382118586,1,0
2,2,86.58688860341167,0,0,309,-8.413495591515492,-19,4
3,0,29.532378632253778,0,0,505,-80.69816997546572,-31,0
2,0,37.981623418055506,0,0,677,61.83479872166037,14,4
4,0,24.929453056986787,0,0,520,45.73071868180203,-104,1
4,1,-5.590556370716641,0,0,543,-17.826125354671852,-86,3
2,0,20.303985063951412,0,0,7,-48.173506075772195,44,3
0,0,30.849427471140594,0,0,125,97.36021999682785,93,1
3,1,17.40626179752136,0,0,118,-43.277669444258464,29,0
2,0,46.06759851493797,0,0,293,8.57022176710646,-15,1
2,0,49.75984008220165,0,0,15,21.041854202693948,2,3
3,1,22.70449447501645,0,0,534,55.99719836197673,14,146
2,1,36.92670008446911,0,0,610,39.85138281250025,24,3
2,0,29.152537853574678,0,0,3,20.249356907930768,17,66
2,1,30.968126984991184,0,0,536,49.78753448691462,-17,3
3,0,17.701584053401255,0,0,280,2.559638360142202,-56,1
1,0,22.876178719210017,0,0,234,-0.24318059125116775,34,0
2,0,43.4626524046715,0,0,211,100.87796626505745,12,-1
4,2,-10.045172621986922,0,0,313,-24.725163461398253,-24,6
1,0,27.921716494696,0,0,246,107.66932198773449,30,-1
3,2,40.66406717185504,0,0,331,61.68460802363066,-12,6
2,0,23.692538092809176,0,0,38,23.395641758780712,59,1
2,1,10.042117393263155,0,0,302,82.35095639693162,-23,1
4,0,-4.90675015201937,0,0,308,-13.31089440418463,52,0
2,1,57.30967247891187,0,0,4,-13.546694249760414,-31,19
3,1,30.036767112491752,0,0,219,1.272359657959921,20,1
2,1,30.758159400939935,0,0,566,103.09240921223554,12,0
1,0,23.961161556126804,0,0,234,46.77673758453932,57,-1
1,0,58.46484895258216,0,0,133,41.536611281526,54,0
2,0,37.04128476170784,0,0,21,53.775886547413606,90,3
3,1,27.594458789466028,0,0,518,92.38414272132775,-29,4
2,1,34.31458834843524,0,0,2,116.65359238453314,-1,-1
3,0,1.5690391863968927,0,0,515,19.94367292076106,55,0
3,0,32.620001189796156,0,0,125,49.57981084141548,30,10
3,1,35.288567037377454,0,0,430,-6.5898872727285465,2,4
3,1,27.553907519142427,0,0,298,41.72402168369882,32,5
3,1,39.29694234644456,0,0,674,27.935611245940972,25,27
3,2,11.805228919179712,0,0,376,-23.71650700593746,89,6
0,1,26.118142336693193,0,0,385,186.0022855313534,10,6
2,0,21.381303442494964,0,0,33,21.048533117402208,93,0
3,1,27.29353480694677,0,0,428,114.14891051742693,28,1
3,0,33.34334225959494,0,0,291,5.3239500643620445,-6,0
1,-1,26.922040396559403,0,0,65,170.18318228522008,79,-1
1,0,23.625248232056478,0,0,570,118.24967394848397,100,0
2,1,35.003453523410066,0,0,97,19.957610013484295,48,2
1,1,78.04297745978522,0,0,61,59.14478122196982,180,2
3,1,2.8930903375915378,0,0,35,27.850880024272186,-64,-1
2,1,49.358040242608524,0,0,293,-0.10490382430893419,59,2
3,1,48.38597807065441,0,0,368,22.873467489575653,10,3
2,0,35.50210231133111,0,0,599,57.222075026391046,4,3
2,0,29.95406527542034,0,0,77,4.16389194606656,50,5
3,0,34.723285928793594,0,0,467,49.08750843688857,-85,0
2,1,24.9878787892873,0,0,98,13.271786736205847,56,0
3,0,15.07389342021185,0,0,630,84.6374464639984,20,0
3,0,35.59469257240623,0,0,231,46.38580699723287,1,3
1,2,36.758525535613835,0,0,225,119.3454025331253,69,0
1,0,7.239748477230041,0,0,303,34.91563455535653,11,-1
3,1,22.578560972410276,0,0,524,28.741364887765403,0,1
3,1,13.642296528999983,0,0,476,25.31844610091822,43,-1
2,1,34.97956077964049,0,0,416,45.822049154828434,8,2
2,1,34.5807852832227,0,0,143,-25.63499650520226,68,1
3,1,35.463535757480685,0,0,653,-14.148064870277501,44,1
4,1,23.57372063654412,0,0,146,-40.99809237783313,-55,384
3,0,18.53562865356548,0,0,290,75.06119466571835,-35,-1
2,1,32.76717413404643,0,0,611,25.8337716342084,53,0
2,1,16.95714579400523,0,0,611,133.0894885623588,61,0
3,0,29.835926912407622,0,0,408,99.65135406890413,32,1
3,0,-23.165930171867586,0,0,11,22.72442562996958,5,3
2,1,31.570172000273303,0,0,622,52.20921120825632,34,0
1,1,35.73074422362882,0,0,156,93.65581543794787,68,-1
3,1,-1.0976581206084965,0,0,265,74.4014708974529,-7,1
2,1,48.88627105501338,0,0,353,-37.67794527317146,12,1
2,0,36.42041403268564,0,0,544,88.29500607543798,69,1
3,1,37.86478124502028,0,0,608,-7.348855730519055,-79,5
3,1,1.3571728893801556,0,0,197,-16.828151775198435,60,0
3,0,6.943376923716098,0,0,217,8.321369944742742,-48,1
3,1,38.91513651074902,0,0,214,-21.703292495629633,22,7
2,0,25.90455859748716,0,0,281,44.752046497910996,46,1
1,0,28.498514526240285,0,0,4,56.74664645626321,-20,1
3,1,0.9612780457802792,0,0,597,39.49453185443945,23,8
2,0,26.224081372082875,0,0,166,48.07685376701875,47,-1
2,-1,33.6456288735329,0,0,631,52.685233365557785,95,17
2,0,30.915556274080487,0,0,320,-26.19238201780427,2,0
2,0,6.820872611510488,0,0,227,64.13549534508336,37,0
4,0,28.17047389059169,0,0,332,-71.64735649394449,-37,1
5,1,41.958268865879745,0,0,393,-99.58110350404797,-12,31
2,0,27.98753297604391,0,0,327,-34.599357982944426,91,1
3,1,22.651275228162515,0,0,387,-18.727816009637607,12,3
2,1,40.38832661329434,0,0,496,80.58980445505526,-31,1
4,0,16.110803941201958,0,0,235,-142.1609646910663,-11,3
3,1,13.46565400697304,0,0,633,32.02039183235273,91,1
3,1,46.71848020900964,0,0,583,69.76590880143678,36,2
3,1,23.509066835326482,0,0,675,0.1518735934540274,-17,-1
2,0,40.865643744450004,0,0,605,118.37568856068062,76,67
3,0,-14.802431458249934,0,0,585,103.65613741580745,33,9
2,1,31.700346043959495,0,0,322,20.037119653722044,-28,-1
2,1,39.16491342405833,0,0,480,89.15165069340458,93,3
2,0,34.05434768256728,0,0,17,16.96007532064869,12,2
2,1,67.25073872576868,0,0,565,59.50154557999517,74,0
2,1,34.119147489095965,0,0,113,-41.50168858003747,20,6
2,1,17.160417478319033,0,0,86,68.3861257708736,7,-1
2,1,48.977753290786936,0,0,651,99.63843069307308,-19,-1
3,1,19.431304152924078,0,0,315,52.30803446939878,-7,4
1,1,36.18890464237388,0,0,191,97.76576232477004,107,1
1,0,27.422738017474046,0,0,37,15.686600974935391,20,5
3,2,29.99779634284496,0,0,533,15.709121657933196,8,0
2,0,25.764192327024915,0,0,306,-18.45580795941902,106,2
3,0,22.71360194278933,0,0,615,20.250656851361867,30,0
2,0,15.707992792608737,0,0,145,38.19174305719489,3,-1
2,1,17.3881245452177,0,0,235,120.6168828900025,14,0
2,2,54.01656670544566,0,0,302,-11.994683591391095,3,2
2,1,38.376065991611995,0,0,519,33.713950929266026,-12,0
3,1,18.309976013276593,0,0,213,-25.91426026188489,-35,13
2,1,16.674062606457227,0,0,313,58.42267834302541,-4,0
2,2,14.307987540675661,0,0,454,70.81389538946597,-19,-1
2,0,22.50730286617256,0,0,602,37.13379763789224,29,2
2,0,16.88469415733904,0,0,678,63.78869667848603,3,3
5,1,18.266033527180404,0,0,337,-59.282038640853926,-19,20
2,1,33.3001860984257,0,0,146,-27.758970794577593,68,3
3,1,28.994588041379593,0,0,594,0.6298957262243903,16,3
4,1,9.795755813069857,0,0,509,-136.1823026186442,29,12
4,1,20.689642251122137,0,0,651,-45.90464236584951,22,84
2,1,43.85177787892571,0,0,15,50.074884197679395,2,2
3,0,33.82152788239854,0,0,286,26.240977570455875,-19,7
3,1,23.6991387004632,0,0,592,-6.786706303607531,7,6
3,1,0.5259240024431584,0,0,294,-26.211446423318996,-3,43
1,1,37.95417445223522,0,0,272,-12.28834785321051,-47,8
1,1,33.84586619705365,0,0,334,70.81247318926881,75,-1
3,0,12.11314774702398,0,0,499,-18.01138047083228,-43,1
2,0,20.085031094697328,0,0,22,43.23031929089279,43,1
2,1,24.95589444624277,0,0,512,24.383708069393357,55,2
2,0,13.644299315424925,0,0,101,69.95893004070413,32,3
2,0,23.064750797153536,0,0,78,58.8481304977719,2,1
2,1,26.95895962786696,0,0,570,42.02886730193546,28,10
2,0,19.921954285918886,0,0,43,72.213379224642,88,0
2,1,26.13784996006666,0,0,475,63.80814554341281,33,2
3,0,20.45279772887413,0,0,582,0.3857451641689309,23,3
2,1,30.71975960607025,0,0,520,44.46084303224614,-16,-1
3,1,31.81656075743741,0,0,242,25.534157863743857,-40,1
3,0,20.77315084399185,0,0,490,-28.644437946211482,-44,20
2,1,30.565966329243032,0,0,83,-4.3481081934352375,-9,0
3,0,16.444443483847778,0,0,601,-18.485272643504103,-8,2
2,0,22.44541889517046,0,0,126,-12.308348098724146,67,0
1,1,43.88702841468306,0,0,72,52.86940379240156,37,1
1,0,28.658112955616343,0,0,508,63.637507449874605,51,-1
1,1,32.6857632920089,0,0,642,48.94902646559251,105,15
2,1,31.749414958140704,0,0,504,55.67622462599432,-15,0
3,0,26.37626599119149,0,0,253,22.746761020658905,-26,-1
1,-1,67.50256126635051,0,0,126,109.31692035732509,49,0
2,1,49.31189292465271,0,0,595,71.1184452423868,53,0
2,1,12.516564047177678,0,0,406,5.126178170701717,-12,1
3,0,28.35133742719642,0,0,648,-17.299781890050006,82,31
1,1,7.003130250055527,0,0,119,30.760432972292865,41,0
1,1,57.00407203592542,0,0,240,23.735854613405557,114,0
3,1,22.98373960752027,0,0,267,36.678648874082064,-82,4
3,0,13.196332844260912,0,0,313,-28.18127014675605,8,1
2,0,40.33857402884073,0,0,179,35.12285191398998,43,1
3,0,7.097766856859142,0,0,395,24.64753209828192,32,0
2,1,45.17801936256975,0,0,303,59.670914800421826,-26,-1
2,1,43.39607098247732,0,0,43,78.69154479034296,68,-1
3,0,25.288098073851668,0,0,407,-6.056605699065116,52,0
2,1,46.90894415614913,0,0,49,-48.482131150594185,32,15
2,1,40.36008124445403,0,0,32,27.299624671614588,18,-1
2,0,26.912748236653115,0,0,509,17.716772069977367,33,2
3,0,24.237777129807988,0,0,654,7.812198969141608,21,0
2,2,30.49821622408707,0,0,632,53.09282761402379,-2,0
4,1,24.919122004728347,0,0,619,-9.491779987557976,-12,0
2,2,31.723066443296165,0,0,411,-116.04214016976425,42,33
1,0,45.08164363406488,0,0,511,112.23007059302476,42,-1
2,1,25.468809609862657,0,0,129,-5.463705950288734,13,32
