age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
60,7,219968,6,6,4,0,0,4,0,0,112,50,13
31,2,298981,2,10,6,5,1,4,1,18641,5,30,38
64,1,250393,7,10,2,3,1,4,0,9923,71,43,40
37,4,165512,14,4,3,6,1,4,1,3142,0,24,40
26,4,479621,13,10,3,12,0,3,0,68596,0,42,39
46,4,226621,11,10,2,4,0,3,1,5194,24,46,40
52,4,256967,9,9,6,10,2,3,1,0,120,38,0
18,0,243206,15,16,6,14,0,4,1,1382,1078,38,38
38,5,479621,15,10,5,4,0,4,1,416,0,17,31
19,4,193876,15,10,5,14,0,4,0,0,0,50,12
21,4,231718,6,8,4,4,0,3,0,4301,0,42,0
55,2,479621,14,11,0,2,0,4,1,0,0,39,40
34,3,164705,8,12,3,0,2,4,1,23226,0,80,39
52,5,225445,15,10,2,14,1,4,1,378,78,36,37
71,4,479221,15,10,4,14,1,4,0,0,53,53,40
34,0,430953,13,13,6,0,0,4,1,983,0,48,38
70,4,166891,15,6,0,2,0,4,0,17449,122,13,39
25,4,258012,13,8,5,14,0,4,0,18617,106,58,38
23,1,191970,10,9,4,14,0,4,0,3919,2282,45,38
52,6,479621,10,10,1,0,3,0,0,2631,679,44,40
45,5,227494,12,10,0,0,0,3,1,14717,73,76,38
80,6,236456,11,11,3,0,1,4,1,26713,2282,42,40
64,4,140133,14,9,4,0,1,3,1,9353,80,46,39
37,4,267591,11,15,6,7,0,4,0,32376,15,47,39
43,4,55581,14,9,4,0,1,4,1,17374,0,52,38
36,5,282989,12,10,0,2,0,4,0,8691,1707,45,40
66,4,158531,14,7,4,0,0,4,0,0,0,42,40
74,4,105186,9,11,1,1,4,2,1,11924,73,33,40
26,6,234062,0,16,4,0,0,3,1,0,99,39,39
61,3,416300,15,16,2,0,1,4,1,4222,28,39,14
24,4,98122,13,11,4,0,0,4,1,7094,1248,49,38
77,4,479621,7,10,2,8,0,4,0,7191,53,42,38
80,4,273772,12,12,0,7,1,4,1,0,11,55,38
24,6,265741,15,11,3,10,0,4,1,0,89,35,40
44,4,22747,15,13,5,0,0,3,0,88370,66,44,38
19,4,479621,14,11,2,2,0,4,0,0,45,38,39
17,0,356306,9,10,3,6,0,4,1,10923,93,43,39
57,4,155355,14,8,5,14,2,4,0,87,1129,49,40
54,4,321964,12,10,3,0,0,4,0,12950,82,51,36
19,4,172999,15,10,1,6,0,4,0,13319,0,49,37
73,2,170654,15,9,4,5,0,4,1,0,0,38,39
21,4,233717,8,7,6,0,0,4,1,1079,109,5,29
20,2,207795,10,9,3,1,1,4,1,1030,119,48,39
25,6,224105,3,7,1,1,0,4,1,5617,85,45,39
45,4,348349,8,16,3,0,0,4,1,351,75,36,39
19,0,239392,10,16,6,0,1,4,1,4623,63,40,37
72,4,277437,11,11,0,5,2,3,0,1853,33,35,40
25,4,52622,9,11,3,2,1,4,0,0,2122,38,35
80,2,268061,7,9,5,0,1,4,0,0,163,67,35
57,4,223654,6,9,3,0,1,1,1,265,48,51,39
36,4,29152,9,16,6,8,0,4,0,13787,0,50,40
35,4,479621,14,8,4,8,0,4,0,26877,2282,80,39
62,4,316636,14,3,4,0,0,4,0,1400,66,38,39
79,3,187651,13,9,3,9,1,4,0,0,0,12,37
46,4,479621,8,10,4,2,0,4,1,11492,0,37,39
18,4,208584,15,7,3,2,0,4,1,11862,61,16,0
54,6,366801,14,16,2,2,0,4,1,0,41,35,39
74,3,201882,10,10,6,2,0,4,0,1735,44,29,38
52,4,171074,15,3,5,0,1,4,0,14796,50,16,39
27,0,151394,11,9,0,4,3,4,0,3410,47,44,37
49,1,390033,12,8,4,0,1,4,1,2600,0,16,39
63,5,198169,14,9,4,13,0,4,0,2456,0,58,38
63,0,261973,15,8,5,7,0,4,1,0,24,48,40
51,4,136604,14,9,0,10,0,3,1,1309,2282,5,38
21,7,401739,12,12,4,4,2,4,0,0,82,36,0
24,6,149013,9,11,2,7,1,2,1,3056,0,62,40
24,7,246886,4,9,4,6,0,4,1,24484,79,38,38
49,4,234191,15,11,3,5,0,4,1,10980,1465,31,39
45,2,246912,15,10,6,4,0,4,1,23660,132,44,39
39,3,460168,5,2,5,13,0,4,1,0,0,40,39
