age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
22,2,127030,15,15,5,4,4,3,1,10595,0,50,39
51,6,92494,15,11,2,9,1,0,0,5871,0,36,39
47,4,189241,13,11,2,13,0,3,0,7028,0,38,39
56,2,135422,9,15,2,4,4,3,0,0,0,40,39
19,3,27776,11,11,2,0,0,3,0,303,37,22,39
58,3,71218,7,10,2,2,0,2,0,429,14,35,39
29,7,151473,12,15,2,10,0,3,0,8049,0,35,39
23,3,74127,15,10,2,9,0,3,0,0,0,33,39
48,4,27776,15,14,1,14,0,0,0,2853,37,39,32
29,2,131654,15,9,2,2,0,1,1,0,0,59,39
34,2,101900,12,10,4,14,0,3,1,1693,1335,38,39
27,5,486701,10,16,1,14,0,3,0,6807,70,37,39
32,3,71321,15,12,2,0,0,4,0,1132,0,13,37
29,5,52942,7,10,0,7,0,3,0,0,370,35,37
19,3,128375,15,12,4,3,0,2,0,11821,73,37,34
32,3,121536,10,11,4,14,0,0,0,0,0,45,39
19,0,27776,9,13,2,2,1,4,0,0,938,50,39
19,0,41334,15,10,1,3,0,3,0,1672,65,37,39
32,4,62533,14,11,2,14,1,0,0,3033,1848,41,24
20,4,27776,11,9,4,7,0,4,0,0,0,43,22
43,4,28683,15,10,2,7,0,0,0,7966,0,10,39
36,3,331066,14,9,5,13,4,3,1,4178,0,28,39
19,3,66537,6,11,4,8,0,3,0,0,0,36,39
62,1,142627,15,8,2,0,0,3,0,0,890,34,39
19,3,71719,11,12,1,14,0,4,0,5710,78,40,37
23,1,234996,9,11,1,13,0,3,0,0,846,10,39
19,3,205476,14,7,2,0,1,4,0,2624,1848,23,21
19,4,31998,13,13,5,7,1,3,0,0,1659,31,39
32,4,353520,13,13,2,10,3,3,1,0,1848,55,38
19,3,53857,15,15,4,10,0,2,0,0,0,53,39
21,3,34397,8,11,5,11,0,3,1,218,0,39,39
61,3,139973,15,15,2,13,1,4,0,9839,1246,33,39
19,3,63001,10,10,3,14,0,3,1,15024,141,61,27
47,3,119053,14,10,2,14,0,3,0,621,0,43,10
19,0,35160,8,10,2,7,0,4,0,0,0,10,39
