age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
31,6,142709,7,8,3,11,0,4,1,0,595,53,39
37,5,244586,9,13,3,7,4,4,0,0,143,50,29
43,2,308647,15,15,4,2,0,4,1,0,0,37,25
63,1,288721,11,8,0,10,0,4,1,0,0,37,39
52,4,326471,10,9,2,12,0,4,1,0,0,48,39
22,3,268916,9,9,2,9,0,4,1,0,135,44,32
50,3,295818,7,12,0,3,0,4,1,0,239,42,39
32,7,121279,9,11,2,14,3,4,0,0,617,49,39
49,4,57783,11,16,4,1,1,4,1,0,197,46,23
37,1,111437,14,8,1,7,3,4,0,0,186,21,34
51,6,133665,7,14,1,7,1,4,0,0,0,62,28
38,2,87221,10,14,1,8,2,4,1,0,0,45,39
55,2,485861,10,12,0,0,0,4,1,0,0,49,35
46,5,50016,8,14,2,10,1,4,1,0,889,40,32
35,5,165024,13,14,4,13,0,4,1,0,264,38,34
54,0,125067,11,13,1,2,3,4,0,0,150,27,31
40,3,154856,11,15,1,7,0,4,1,0,0,53,35
61,5,111197,6,12,1,13,0,4,1,0,333,51,39
28,5,166394,8,11,2,8,1,4,1,0,433,49,37
33,2,162895,11,10,1,12,1,4,1,0,0,38,31
43,6,407939,11,10,2,5,0,4,1,0,1,53,17
58,3,99058,9,12,3,5,1,4,1,0,797,18,39
22,7,120423,4,10,1,14,4,4,0,0,53,65,27
40,2,46314,12,15,4,10,0,4,1,0,0,37,39
59,6,133334,11,12,3,1,3,4,1,0,269,26,39
24,3,88951,10,13,5,9,1,4,1,0,209,38,25
25,4,261033,9,13,5,10,0,4,1,0,0,33,29
40,3,127489,8,11,2,1,2,4,1,0,285,18,39
59,4,493862,6,12,1,4,0,4,1,0,0,37,39
40,6,83002,9,14,4,10,0,4,1,0,0,34,16
39,3,127447,9,12,1,1,2,4,1,0,643,42,22
62,1,382497,9,11,3,0,4,4,0,0,0,26,39
64,1,262405,15,9,1,0,0,4,1,0,1354,18,39
25,3,148511,14,8,1,6,3,4,0,0,4,57,31
42,5,114376,11,10,1,4,2,4,0,0,88,51,21
