Gender,Age,EstimatedSalary
0,42,110000
1,33,127000
0,38,87000
0,51,31000
0,40,145000
0,41,144000
0,58,144000
1,41,143000
0,20,80000
0,43,143000
1,43,67000
0,37,147000
0,35,61000
0,46,98000
0,34,43000
0,44,85000
1,35,95000
0,19,118000
1,58,138000
0,52,48000
0,45,67000
0,44,111000
0,22,104000
0,29,123000
1,34,132000
1,55,72000
0,29,64000
1,42,52000
0,56,20000
0,24,80000
0,36,137000
1,33,58000
1,44,84000
0,33,81000
0,44,134000
0,36,145000
0,24,132000
0,39,119000
0,30,131000
0,27,145000
1,59,82000
1,42,98000
1,20,49000
1,45,106000
0,19,60000
0,34,100000
0,26,135000
0,26,113000
0,28,135000
0,33,125000
0,59,15000
0,35,125000
0,57,120000
1,50,128000
0,32,51000
0,59,131000
0,57,37000
0,49,65000
0,35,38000
0,41,95000
0,59,16000
1,38,128000
0,24,72000
0,34,123000
0,42,102000
0,30,25000
0,47,112000
0,27,104000
0,29,98000
0,21,69000
