Gender,Age,EstimatedSalary
0,48,28000
0,47,68000
0,48,114000
0,43,67000
0,49,89000
0,43,74000
0,51,24000
1,25,99000
1,38,113000
0,39,100000
0,57,35000
0,53,70000
0,31,74000
0,48,41000
0,59,63000
1,38,83000
1,41,145000
0,35,87000
0,36,53000
0,39,101000
1,33,69000
1,30,44000
1,39,117000
0,35,57000
0,39,74000
0,45,99000
0,22,38000
0,38,44000
0,47,57000
1,50,54000
0,32,34000
1,36,40000
0,46,60000
0,45,68000
0,46,128000
0,44,126000
0,34,103000
0,29,138000
0,40,33000
0,32,111000
0,57,136000
1,52,41000
1,49,45000
0,46,45000
0,35,62000
0,48,92000
0,37,127000
1,50,75000
1,51,75000
1,37,65000
0,43,82000
0,32,104000
1,46,108000
0,55,121000
0,47,136000
0,30,61000
0,53,122000
0,34,43000
0,42,48000
0,33,102000
0,29,122000
1,46,59000
0,48,20000
1,23,121000
0,51,135000
0,53,56000
1,58,112000
1,33,107000
0,53,126000
0,54,147000
