Gender,Age,EstimatedSalary
0,47,19000
0,44,94000
0,55,91000
0,59,103000
0,49,127000
0,53,67000
0,59,98000
0,40,35000
0,24,31000
0,32,112000
0,36,98000
0,30,134000
0,46,102000
0,38,78000
0,54,52000
0,23,52000
0,23,41000
0,26,123000
0,32,129000
0,21,79000
0,28,69000
0,51,36000
0,53,80000
0,38,121000
0,30,126000
0,32,82000
0,44,58000
0,40,53000
0,37,69000
0,41,90000
0,21,32000
0,50,33000
0,49,17000
0,42,70000
0,38,19000
0,51,120000
0,56,16000
0,28,26000
0,53,135000
0,56,122000
0,34,59000
0,47,146000
0,39,144000
0,55,83000
0,48,96000
0,41,53000
0,58,63000
0,44,34000
0,26,60000
0,41,63000
0,26,72000
0,54,119000
0,42,62000
0,45,80000
0,34,31000
0,22,53000
0,26,113000
0,40,106000
0,40,52000
0,51,103000
0,52,69000
0,32,121000
0,38,121000
0,39,68000
0,44,42000
0,35,103000
0,34,98000
0,44,89000
0,26,72000
0,29,45000
