Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
3,1,0.42,0,0,668,19.6504,60,1
2,0,20.37,0,2,552,7.125,0,2
2,0,17.76,0,0,500,18.896,-1,1
2,1,37.73,0,0,358,7.125,79,2
2,0,33.68,0,0,529,17.9533,5,1
3,0,37.13,0,0,670,19.4554,-1,2
1,0,16.01,1,1,0,15.8156,-1,2
2,1,3.49,0,0,2,263.0,-1,1
3,1,32.52,0,1,670,7.857,-1,-1
3,1,2.07,1,0,508,20.1916,-1,2
2,0,16.99,0,0,670,263.0,-1,2
3,0,41.1,1,0,9,58.0044,-1,1
1,1,13.49,1,0,658,114.1953,5,0
3,1,1.95,0,0,648,15.4522,83,0
3,0,18.4,1,1,618,58.3382,-1,1
3,1,20.14,0,1,670,33.0969,7,2
2,1,63.66,0,1,526,7.5646,-1,2
3,1,51.52,0,0,547,65.9966,56,2
3,1,63.51,0,0,507,38.1925,-1,2
1,1,11.45,0,0,670,60.1012,16,2
2,0,15.72,0,0,670,14.2242,-1,2
3,1,13.89,1,1,604,39.3067,0,1
2,1,45.2,0,0,639,23.9612,109,2
2,1,3.23,0,0,648,24.9861,79,1
3,1,24.09,0,0,668,17.0559,2,0
1,1,19.46,1,2,584,59.4146,22,0
3,1,14.72,0,0,630,20.05,14,2
2,1,14.77,0,0,642,69.0407,-1,2
1,0,49.4,0,1,542,7.125,-1,2
2,1,14.16,2,0,609,66.5288,-1,1
3,1,38.96,0,0,237,263.0,-1,1
1,1,31.78,0,0,667,25.9448,-1,2
1,1,3.04,0,0,650,87.2374,22,2
2,0,49.94,1,0,475,226.0614,6,2
2,1,58.5,0,0,669,16.5717,-1,2
1,1,39.12,1,0,670,11.9846,-1,0
1,0,47.54,0,1,670,21.9576,-1,2
3,0,14.62,0,0,514,62.2134,-1,1
2,1,9.72,1,0,464,75.776,-1,2
3,0,51.04,1,0,670,29.7592,3,-1
3,1,0.42,1,0,56,15.9318,-1,2
1,1,37.9,0,0,655,14.5956,13,2
1,0,8.35,0,0,569,14.0744,-1,2
1,1,20.1,0,0,263,12.988,-1,2
3,0,5.87,1,0,280,263.0,-1,-1
1,1,2.26,0,0,610,12.7528,112,2
2,1,3.05,0,0,594,97.0558,-1,2
2,1,53.94,1,0,131,7.6111,-1,2
3,0,16.51,2,1,670,7.8977,-1,2
3,1,37.27,1,0,670,15.5727,4,1
3,0,52.69,0,0,293,18.4426,0,2
2,1,15.02,1,0,654,18.7762,-1,2
3,1,14.81,0,1,54,24.0457,-1,0
1,1,19.01,0,0,598,28.2875,-1,2
1,0,25.48,1,0,303,82.3438,4,0
2,1,0.42,0,0,196,19.0112,-1,2
3,1,29.53,0,1,532,160.435,3,2
3,0,27.75,0,1,668,17.6662,-1,2
2,0,20.4,0,0,670,10.4678,-1,2
3,1,38.84,0,3,648,18.0734,-1,0
3,1,48.64,1,0,670,72.6704,6,2
3,1,11.95,0,0,302,11.0442,-1,2
1,1,20.03,0,0,562,15.6733,8,2
2,1,37.23,0,0,286,40.483,-1,2
2,1,9.03,0,0,572,23.9928,-1,2
1,1,23.44,1,0,540,42.0107,11,2
3,1,0.98,0,0,523,62.3035,1,1
2,1,24.36,1,0,640,263.0,-1,1
3,1,23.54,0,3,334,109.2716,9,2
2,1,10.24,1,2,670,16.4535,-1,1
