Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
2,1,31.2,0,0,604,90.3266,10,1
3,0,33.9,0,1,1,19.1603,-1,1
3,1,19.1,0,1,140,82.6405,-1,1
3,0,17.1,0,0,548,29.9832,15,1
2,1,34.6,0,0,472,97.8887,0,1
3,1,40.1,0,0,443,28.0896,-1,1
2,1,21.7,0,0,191,7.0542,3,1
2,0,36.6,0,1,1,12.9261,-1,1
1,0,41.2,0,0,628,10.4061,9,1
1,0,46.6,0,0,303,9.6584,-1,0
2,1,47.7,0,0,155,26.1957,124,1
2,1,44.3,0,2,504,81.7764,86,0
3,1,19.6,0,0,150,7.0542,-1,0
1,1,28.2,0,3,214,28.3775,-1,1
3,1,30.8,0,2,551,41.8488,10,1
1,0,21.7,0,1,325,29.266,16,1
2,0,28.8,0,2,299,7.0542,7,1
1,1,19.2,0,2,448,29.8234,9,1
2,0,26.7,0,0,362,30.5219,13,0
2,1,30.6,0,0,45,7.0542,-1,1
3,1,16.8,0,2,79,7.0542,-1,2
1,1,38.0,0,0,372,90.4693,100,1
3,1,19.0,0,1,380,7.0542,125,0
2,1,23.3,0,1,278,85.0283,-1,0
3,1,33.5,0,0,135,7.0542,125,0
2,0,27.0,0,2,427,53.5283,24,1
1,0,56.8,0,0,490,13.5142,142,0
3,1,19.9,1,0,261,57.93,13,0
1,1,23.6,0,4,194,73.7072,11,1
1,0,23.8,0,1,627,124.9975,142,0
2,0,12.0,0,2,663,10.8459,12,1
1,0,35.5,0,1,208,85.45,4,1
2,1,55.7,0,0,540,38.9626,-1,1
2,0,27.2,0,2,1,83.5894,7,1
2,1,24.8,0,1,436,23.1875,27,0
