Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,62.23,0,0,48,58.8674,-1,0
2,1,41.4,1,1,648,41.9421,30,-1
1,0,38.86,1,1,652,107.2731,88,-1
3,0,16.17,1,0,1,10.1386,-1,2
1,1,41.41,2,0,0,263.0,92,0
3,0,14.35,1,1,270,10.7056,0,0
2,0,43.51,0,0,264,20.8215,56,2
1,1,36.85,1,1,43,76.7152,125,0
3,1,10.06,1,0,616,15.1672,78,2
1,1,43.87,1,1,269,263.0,58,2
3,1,1.41,2,1,567,20.2337,16,2
1,1,24.69,1,0,525,27.7449,42,1
3,0,22.14,0,0,362,7.125,26,0
3,0,41.71,1,0,662,22.3305,6,0
1,0,12.57,0,0,309,14.7478,92,-1
3,1,42.7,0,1,344,7.125,2,2
3,1,26.13,0,1,212,8.7836,-1,2
1,0,51.28,1,1,85,97.946,44,2
3,0,26.43,1,1,667,8.0128,54,1
2,1,22.56,0,1,203,18.7951,-1,2
2,0,46.39,1,1,462,53.9397,-1,1
2,0,20.47,1,1,414,23.8101,-1,0
2,0,29.16,1,1,212,21.2807,46,1
2,1,36.3,2,1,139,26.2068,49,1
1,1,30.01,0,0,191,40.7149,31,2
2,0,50.51,1,1,623,23.0603,-1,2
1,0,32.72,0,0,5,9.2253,20,0
1,0,21.46,2,2,369,119.2393,89,-1
3,0,7.06,1,1,378,7.125,9,-1
1,1,54.04,1,1,139,26.6643,145,2
1,0,36.96,1,1,21,263.0,-1,0
3,1,42.29,0,0,443,12.3717,-1,-1
1,0,50.45,0,0,345,19.5603,84,2
3,0,27.83,0,2,60,7.125,27,0
2,0,21.64,0,0,580,23.0535,3,-1
3,1,25.2,0,0,623,7.125,-1,2
2,1,27.16,2,1,630,30.9471,65,-1
2,1,14.28,0,0,2,19.585,-1,-1
2,0,22.63,0,1,144,20.522,101,2
2,0,10.76,1,1,24,28.2098,20,1
3,0,20.17,1,0,194,11.4747,35,0
1,0,33.59,1,0,111,75.8786,36,0
1,1,31.34,0,0,621,31.795,113,1
1,1,36.68,1,0,406,24.9758,93,2
3,1,16.81,1,1,490,7.7251,10,2
1,1,29.44,0,0,58,31.4012,62,-1
2,1,46.61,0,0,464,15.1032,89,2
2,1,34.93,1,2,422,21.3317,42,1
2,1,25.15,0,0,92,15.3766,42,2
3,1,2.45,0,0,215,14.871,-1,0
3,1,6.13,2,0,293,7.125,-1,2
1,0,33.69,1,0,0,263.0,69,0
2,0,40.61,1,0,60,12.2166,115,2
3,1,31.56,0,0,629,7.125,-1,2
3,0,4.75,0,0,265,7.125,-1,1
2,1,29.31,0,0,174,20.9436,-1,-1
1,1,1.92,1,1,96,90.5856,78,-1
2,0,58.46,0,0,3,12.8025,-1,-1
2,1,55.02,1,2,4,76.7584,15,-1
1,0,35.93,1,0,457,77.4058,-1,-1
1,1,37.73,1,2,74,66.954,82,2
1,1,31.88,2,1,6,94.6662,37,1
3,1,42.46,0,0,520,7.125,41,2
3,1,20.62,0,0,503,7.125,-1,2
3,1,46.38,1,2,620,31.7984,-1,0
2,0,27.05,0,0,20,19.9264,94,2
1,1,14.39,0,0,111,25.5227,58,0
1,0,49.11,0,1,49,263.0,73,0
3,1,39.96,1,1,604,9.3078,-1,2
1,1,31.02,0,0,455,18.8761,129,1
