Gender,Age,EstimatedSalary
0,23,48000
0,32,117000
1,58,144000
1,20,49000
1,35,79000
1,26,15000
0,28,87000
0,35,147000
1,40,78000
1,40,57000
1,25,22000
1,39,42000
1,35,75000
0,18,86000
0,40,72000
0,29,28000
1,28,79000
1,57,60000
0,28,85000
1,35,58000
1,47,105000
1,57,74000
1,35,20000
1,35,38000
0,33,60000
1,31,74000
1,24,84000
0,35,44000
0,40,142000
1,26,80000
1,30,49000
1,45,22000
0,27,58000
1,41,59000
0,27,31000
0,57,122000
1,53,72000
1,28,89000
0,19,26000
0,38,50000
1,37,55000
1,35,61000
1,32,18000
0,48,30000
1,39,77000
0,51,146000
0,45,22000
0,41,72000
0,38,112000
0,33,51000
0,36,50000
1,40,47000
1,42,104000
0,41,72000
1,60,102000
0,29,47000
1,47,25000
0,40,75000
0,35,25000
1,39,42000
0,28,84000
1,39,71000
0,35,57000
1,32,100000
1,21,72000
1,48,33000
0,37,80000
0,60,108000
0,50,36000
0,18,68000
1,42,54000
1,47,23000
0,47,51000
0,20,23000
1,37,52000
1,60,42000
0,49,36000
1,36,33000
0,46,22000
1,38,71000
1,34,112000
1,25,90000
1,47,20000
1,38,61000
1,33,43000
1,30,17000
0,50,20000
0,47,144000
0,38,113000
1,45,79000
1,40,59000
0,57,33000
0,28,37000
0,37,57000
0,39,75000
0,23,28000
1,24,23000
1,31,66000
1,41,79000
0,35,47000
1,42,73000
0,58,95000
0,58,38000
0,41,60000
1,37,75000
0,38,50000
0,48,35000
0,42,108000
1,39,106000
1,54,70000
0,27,57000
1,34,43000
0,43,112000
1,27,58000
0,45,45000
1,37,53000
0,28,55000
0,18,44000
0,34,72000
1,37,74000
