age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
35,4,182074,11,9,0,6,3,4,1,0,0,35,39
58,4,142924,12,14,4,1,1,4,0,0,0,24,39
43,4,191149,11,9,0,4,1,4,0,0,0,40,39
58,6,203039,6,5,5,3,1,4,1,0,0,40,39
52,4,143953,9,13,2,10,0,4,1,0,1902,40,39
22,4,496856,15,10,2,4,5,4,0,0,0,40,39
29,4,369114,11,9,0,1,1,4,0,0,0,40,39
61,7,162678,4,3,2,14,0,4,1,0,0,40,39
48,5,302612,12,14,2,8,0,4,1,0,0,40,39
35,4,133454,0,6,0,7,1,4,1,0,0,50,39
33,4,191385,9,13,4,10,1,4,1,0,0,40,2
41,4,174189,6,5,5,8,1,4,1,0,0,40,39
33,2,120508,9,13,0,11,4,4,0,0,0,60,11
27,4,209292,11,9,4,12,2,2,0,0,0,32,6
22,2,273734,11,9,4,5,3,4,1,0,0,20,39
18,0,264924,15,10,4,0,3,4,0,0,0,40,39
35,6,140854,11,9,2,3,0,4,1,0,0,40,39
23,2,304386,11,9,4,8,1,4,0,0,0,40,39
52,6,64045,14,15,2,10,0,4,1,99999,0,45,39
49,4,147002,11,9,4,3,4,4,0,0,0,40,33
25,0,122745,11,9,4,0,3,4,1,0,1602,40,39
31,4,227446,15,10,2,4,0,4,1,0,0,40,5
49,4,84013,11,9,0,8,4,4,0,0,0,35,39
54,4,230919,11,9,2,3,0,4,1,0,0,40,39
33,4,31449,7,12,0,7,4,0,0,0,0,40,39
49,4,50748,9,13,6,10,4,4,0,1506,0,35,39
27,4,44767,11,9,2,5,0,4,1,0,0,40,39
24,4,137591,15,10,4,12,3,4,1,0,1762,40,39
39,4,348521,15,10,2,5,0,4,1,0,2415,99,39
46,4,125487,8,11,2,13,0,4,1,0,0,40,39
24,4,44738,11,9,4,6,2,4,1,0,0,40,39
60,4,139391,15,10,3,7,1,4,1,0,0,50,39
25,4,181598,1,7,2,13,0,4,1,0,0,40,39
27,4,147340,11,9,4,8,1,4,0,0,0,50,39
24,4,210781,9,13,4,9,1,4,0,0,0,40,10
51,4,125796,1,7,5,8,1,2,0,0,0,40,23
64,4,153894,9,13,4,12,4,4,0,0,0,40,29
26,0,182332,8,11,2,0,5,4,0,0,0,40,39
18,4,188476,1,7,4,4,3,4,1,0,0,20,39
54,4,200783,15,10,2,12,0,4,1,0,0,40,39
20,4,224238,2,8,4,3,3,4,1,0,0,40,39
42,0,204817,6,5,4,0,3,2,1,0,0,35,39
24,4,462820,9,13,4,5,1,4,1,0,0,40,39
40,4,346189,10,16,2,10,0,4,1,0,0,40,39
67,0,233182,11,9,0,0,1,4,0,0,0,7,39
30,4,185027,9,13,2,10,0,4,1,0,0,40,39
39,4,196673,11,9,2,8,5,4,0,5013,0,40,39
23,4,211601,15,10,2,4,5,2,0,0,0,40,39
37,4,217838,4,3,5,8,4,4,0,0,0,40,26
40,4,34722,15,10,0,14,1,4,1,0,0,48,39
35,4,278403,14,15,2,10,0,4,1,0,0,80,39
34,4,69491,11,9,2,8,0,4,1,0,0,40,39
25,4,149875,9,13,6,4,1,4,0,0,0,40,39
24,4,38455,15,10,4,3,1,4,1,0,0,40,39
56,0,192325,15,10,0,0,1,4,0,0,0,20,39
63,4,440607,13,1,2,10,0,3,1,0,0,30,26
63,4,67903,6,5,5,5,1,2,1,0,0,40,39
53,4,182855,0,6,0,1,4,4,0,0,0,48,39
43,6,160369,0,6,0,5,4,4,1,0,0,25,39
56,6,200235,15,10,2,12,0,4,1,0,0,60,39
62,4,116812,15,10,0,1,1,4,0,0,0,40,39
54,4,152652,11,9,2,14,0,4,1,0,0,65,39
52,5,181855,14,15,2,10,0,3,1,99999,0,65,39
39,4,74163,2,8,0,12,1,4,0,0,0,40,39
46,4,99835,14,15,2,10,0,4,1,0,0,60,39
25,4,203570,11,9,5,8,4,2,1,0,0,40,39
46,6,256014,8,11,2,4,0,4,1,0,0,60,39
50,2,97449,15,10,2,11,0,4,1,0,0,48,39
36,7,96468,12,14,4,10,3,4,0,0,0,40,39
29,4,100405,0,6,2,5,5,0,0,0,0,40,39
36,2,137314,15,10,2,11,0,4,1,0,0,60,39
46,4,118419,11,9,0,7,4,4,1,0,0,38,39
17,7,117906,0,6,4,5,3,4,1,0,0,40,39
51,2,133050,15,10,2,4,0,2,1,0,0,40,39
23,4,227070,15,10,4,8,4,4,0,0,0,48,8
54,4,171924,11,9,2,14,0,4,1,0,0,70,39
68,0,229016,11,9,2,0,5,4,0,0,0,25,39
52,7,189728,11,9,5,8,1,4,0,0,0,35,39
40,4,226608,15,10,0,13,1,4,1,0,0,30,13
57,6,123778,11,9,2,12,0,4,1,0,0,48,39
37,4,182668,0,6,2,14,0,4,1,0,0,35,39
40,2,39581,14,15,5,10,3,2,0,0,0,40,39
49,4,423222,12,14,2,12,0,4,1,0,0,50,39
33,4,288825,11,9,0,3,1,4,1,0,2258,84,39
37,4,219546,9,13,2,4,2,4,1,3411,0,47,39
51,4,45599,11,9,0,10,1,4,1,0,0,40,39
47,5,96798,11,9,2,4,0,4,1,0,0,80,39
42,7,367292,15,10,2,11,0,4,1,0,0,40,39
63,6,289741,12,14,2,5,0,4,1,41310,0,50,39
48,4,143281,11,9,6,7,1,4,0,0,0,48,39
35,4,208106,11,9,2,12,0,4,1,0,0,40,7
41,7,176663,11,9,2,1,5,4,0,0,0,40,39
82,0,52921,15,10,6,0,1,0,1,0,0,3,39
43,4,193882,15,10,2,12,0,4,1,7688,0,40,39
47,4,225456,11,9,4,13,2,4,1,0,0,50,39
49,6,182211,11,9,6,5,1,4,1,0,0,55,39
36,4,269722,12,14,2,8,0,4,1,0,0,40,39
26,4,194352,9,13,4,10,3,4,0,0,0,40,39
60,4,109530,8,11,2,13,0,4,1,7298,0,40,39
50,1,69345,7,12,2,4,0,4,1,0,0,60,39
58,2,32855,11,9,2,14,0,4,1,0,0,48,39
49,1,233059,8,11,2,3,0,4,1,0,0,40,39
53,4,250034,9,13,2,4,0,2,1,0,0,50,39
51,4,224207,15,10,2,12,0,4,1,0,0,40,39
55,4,50164,10,16,2,4,0,4,1,0,0,60,39
26,4,242768,9,13,4,10,1,4,1,0,0,38,39
37,2,257588,11,9,0,1,4,4,0,0,0,40,39
65,4,242580,15,10,0,10,1,4,1,11678,0,50,39
50,4,173630,11,9,2,5,0,4,1,0,0,35,39
19,4,228238,11,9,4,7,2,4,1,0,0,40,26
51,4,147200,11,9,4,1,1,2,0,0,0,40,39
23,6,184370,11,9,0,8,1,4,0,0,0,40,39
31,4,309974,15,10,5,13,4,2,0,0,0,40,39
21,4,170108,15,10,4,8,3,4,1,0,0,40,39
