Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
2,0,28.0,1,0,100,26.0,-1,2
3,0,5.0,2,1,194,19.2583,-1,0
1,0,38.0,1,0,596,71.2833,81,0
3,0,28.0,1,1,331,14.4,-1,2
1,1,71.0,0,0,603,49.5042,-1,0
3,1,16.0,0,0,653,8.05,-1,2
2,1,36.0,1,2,561,27.75,-1,2
1,1,48.0,1,0,99,52.0,58,2
3,1,24.0,0,0,374,7.8958,-1,2
1,1,30.0,0,0,22,27.75,53,0
3,1,17.0,0,0,657,7.125,-1,2
3,0,26.0,0,0,669,7.925,-1,2
2,1,42.0,0,0,134,13.0,-1,2
1,0,33.0,0,0,0,86.5,40,2
3,1,47.0,0,0,303,9.0,-1,2
1,0,15.0,0,1,141,211.3375,32,2
3,1,28.0,0,0,340,7.8542,-1,2
2,1,32.0,1,0,233,26.0,-1,2
3,1,51.0,0,0,102,8.05,-1,2
3,0,29.0,0,4,395,21.075,-1,2
3,1,44.0,0,1,470,16.1,-1,2
1,0,35.0,1,0,457,83.475,80,2
3,1,10.0,3,2,337,27.9,-1,2
2,0,50.0,0,0,673,10.5,-1,2
1,1,35.0,0,0,9,26.55,-1,0
1,1,27.0,0,2,27,211.5,79,0
3,1,4.0,4,1,480,29.125,-1,1
1,1,61.0,0,0,5,33.5,18,2
1,1,51.0,0,1,595,61.3792,-1,0
2,0,14.0,1,0,132,30.0708,-1,0
3,1,26.0,0,0,339,7.8875,-1,2
3,1,44.0,0,0,655,7.925,-1,2
2,1,36.5,0,2,113,26.0,141,2
1,1,44.0,2,0,92,90.0,78,1
3,1,21.0,0,0,534,7.7333,-1,1
1,0,24.0,0,0,581,69.3,24,0
1,1,49.0,1,0,84,89.1042,86,0
2,1,26.0,0,0,253,10.5,-1,2
3,1,31.0,0,0,320,7.775,-1,2
3,1,20.0,0,0,341,7.8542,-1,2
3,1,33.0,0,0,394,7.8958,-1,2
1,0,58.0,0,1,588,153.4625,57,2
1,1,36.0,1,2,33,120.0,47,2
2,1,46.0,0,0,226,26.0,-1,2
3,1,27.0,0,0,338,6.975,-1,2
3,1,16.0,0,0,504,9.2167,-1,2
1,0,36.0,1,2,33,120.0,47,2
2,1,42.0,1,0,142,27.0,-1,2
2,0,45.0,1,1,571,26.25,-1,2
2,0,26.0,1,1,167,26.0,-1,2
3,1,37.0,2,0,245,7.925,-1,2
1,1,62.0,0,0,52,26.55,-1,2
1,1,38.0,0,1,588,153.4625,85,2
2,1,18.0,0,0,621,73.5,-1,2
2,0,42.0,0,0,126,13.0,-1,2
1,0,39.0,1,0,72,55.9,128,2
1,0,19.0,1,0,64,91.0792,31,0
3,1,43.0,0,0,529,8.05,-1,2
3,0,22.0,0,0,332,7.75,-1,2
1,1,42.0,1,0,43,52.0,-1,2
3,1,41.0,2,0,399,14.1083,-1,2
1,0,45.0,1,1,453,164.8667,-1,2
2,1,25.0,0,0,149,13.0,-1,2
3,1,34.0,0,0,429,8.05,-1,2
1,0,33.0,1,0,92,90.0,78,1
1,1,40.0,0,0,598,27.7208,-1,0
2,0,34.0,0,1,117,23.0,-1,2
3,1,2.0,4,1,480,29.125,-1,1
2,0,4.0,1,1,234,23.0,-1,2
1,1,45.0,0,0,21,26.55,26,2
2,1,54.0,0,0,226,26.0,-1,2
3,0,19.0,0,0,282,7.8792,-1,1
3,1,25.0,0,0,347,7.65,140,2
2,0,18.0,0,1,117,23.0,-1,2
3,1,42.0,0,0,262,8.6625,-1,2
2,1,18.0,0,0,238,11.5,-1,2
1,1,39.0,0,0,12,0.0,11,2
3,1,28.0,0,0,542,22.525,-1,2
3,1,35.0,0,0,641,7.05,-1,2
3,0,33.0,3,0,247,15.85,-1,2
1,0,31.0,0,2,453,164.8667,76,2
3,1,16.0,1,1,551,20.25,-1,2
3,1,20.0,0,0,535,8.05,-1,2
3,0,23.0,0,0,567,7.55,-1,2
2,1,30.0,0,0,679,10.5,-1,2
1,1,56.0,0,0,69,35.5,7,0
1,0,30.0,0,0,0,86.5,40,2
3,1,19.0,0,0,373,7.8958,-1,2
1,0,35.0,0,0,613,135.6333,89,2
3,0,45.0,1,4,337,27.9,-1,2
3,1,43.0,0,0,543,6.45,-1,2
3,0,31.0,1,0,301,18.0,-1,2
3,1,29.0,0,0,298,8.05,-1,2
2,0,29.0,1,0,111,26.0,-1,2
1,1,58.0,0,0,61,29.7,25,0
1,0,51.0,1,0,71,77.9583,92,2
2,0,28.0,0,0,116,13.0,-1,2
3,1,26.0,0,0,323,7.775,-1,2
3,1,39.0,0,0,663,7.925,-1,2
1,1,18.0,1,0,611,108.9,74,0
3,1,35.0,0,0,359,7.8958,-1,0
2,1,52.0,0,0,156,13.5,-1,2
2,1,57.0,0,0,104,12.35,-1,1
3,1,65.0,0,0,290,7.75,-1,1
3,1,36.0,0,0,574,0.0,-1,2
3,0,27.0,0,0,670,7.925,-1,2
3,0,31.0,0,0,414,7.8542,-1,2
3,0,26.0,0,0,343,7.8542,-1,2
1,0,30.0,0,0,67,93.5,39,2
3,0,3.0,3,1,395,21.075,-1,2
1,1,60.0,1,1,74,79.2,29,0
1,1,21.0,0,1,417,77.2875,98,2
3,1,50.0,0,0,531,8.05,-1,2
1,1,62.0,0,0,31,26.55,83,2
2,0,7.0,0,2,571,26.25,-1,2
3,0,15.0,0,0,195,7.225,-1,0
1,0,38.0,0,0,32,80.0,21,-1
3,0,16.0,5,2,566,46.9,-1,2
3,1,34.0,1,1,331,14.4,-1,2
3,1,24.0,0,0,541,7.1417,-1,2
3,0,23.0,0,0,671,7.925,-1,2
2,0,18.0,0,2,168,13.0,-1,2
3,1,18.0,1,1,458,20.2125,-1,2
1,1,48.0,0,0,96,26.55,117,2
2,1,8.0,1,1,558,36.75,-1,2
1,0,26.0,0,0,91,78.85,-1,2
3,0,11.0,4,2,333,31.275,-1,2
3,1,3.0,1,1,562,15.9,-1,2
3,1,32.0,0,0,511,8.3625,-1,2
3,0,40.0,1,0,507,9.475,-1,2
1,1,35.0,0,0,608,512.3292,15,0
3,1,24.0,1,0,477,16.1,-1,2
3,1,24.0,2,0,519,24.15,-1,2
3,1,18.0,1,1,412,7.8542,-1,2
1,1,36.0,1,0,91,78.85,67,2
1,0,35.0,1,0,93,90.0,87,2
3,1,16.0,2,0,302,18.0,-1,2
3,1,48.0,0,0,407,7.8542,-1,2
3,0,30.5,0,0,436,7.75,-1,1
1,0,24.0,0,0,582,49.5042,84,0
3,1,2.0,3,1,395,21.075,-1,2
