age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
29,1,33315,7,12,0,1,1,4,0,0,0,40,39
35,4,257416,8,11,4,3,3,2,1,0,0,40,39
20,4,415913,15,10,4,6,1,4,1,0,0,30,39
30,4,467108,12,14,2,10,0,4,1,0,0,44,39
24,4,278107,11,9,4,3,3,4,1,0,0,60,39
61,4,162432,11,9,6,4,1,4,0,0,0,40,39
25,2,295289,11,9,4,10,3,2,0,0,0,40,39
48,4,207817,11,9,4,8,1,4,0,0,0,32,4
28,4,55360,15,10,4,3,1,2,1,0,0,40,39
33,4,179509,9,13,2,6,0,4,1,0,0,40,39
35,6,191503,15,10,2,12,0,4,1,0,0,50,39
37,4,37109,11,9,2,8,5,1,0,0,0,60,30
27,4,274964,9,13,4,5,1,4,1,0,0,65,39
42,4,247695,11,9,2,7,0,4,1,0,0,45,39
39,4,509060,15,10,0,8,1,4,1,0,0,40,39
26,2,425092,12,14,4,10,1,4,0,2174,0,40,39
32,4,213750,8,11,4,8,1,4,1,0,0,45,39
40,7,151038,9,13,0,3,1,4,1,0,0,40,39
26,4,117217,9,13,0,8,1,4,0,0,0,45,39
49,5,94606,10,16,2,10,0,2,1,0,0,60,39
35,6,127930,11,9,3,5,1,4,1,0,0,60,39
58,2,147428,12,14,2,10,0,4,1,0,0,40,39
50,4,187465,1,7,0,12,1,4,0,0,0,40,39
48,5,26145,0,6,2,5,0,4,1,0,0,80,39
65,0,200749,11,9,2,0,0,4,1,0,0,25,39
58,4,196643,11,9,0,12,1,4,0,0,0,15,39
37,4,188774,9,13,2,1,0,4,1,0,0,40,39
39,4,108140,12,14,2,4,0,4,1,0,0,50,39
25,4,252803,11,9,4,8,4,2,0,0,0,40,39
32,4,202498,1,7,2,6,0,4,1,0,0,40,4
42,4,203393,9,13,2,3,5,2,0,0,0,35,39
35,4,33975,7,12,2,3,0,4,1,0,0,40,39
26,1,52322,9,13,4,13,1,3,1,0,0,60,39
36,7,180752,9,13,4,11,4,2,0,0,0,40,39
55,2,133201,12,14,2,4,0,4,1,0,0,50,39
22,4,200593,15,10,4,12,3,4,1,0,0,40,39
44,4,125461,12,14,2,4,0,4,1,0,0,35,39
19,4,187161,15,10,4,8,3,4,0,0,0,25,39
33,6,137674,11,9,2,8,0,2,1,0,0,40,39
54,4,146310,11,9,2,14,0,4,1,0,0,50,39
26,7,141838,9,13,2,4,0,2,1,0,0,40,39
31,4,213643,11,9,2,12,0,4,1,3908,0,40,39
51,4,173291,11,9,0,8,1,4,0,0,0,40,39
60,4,238913,9,13,2,12,0,4,1,0,0,46,39
21,4,33616,15,10,4,1,3,4,0,0,0,25,39
29,4,224421,8,11,1,5,0,4,1,0,0,44,39
63,4,294009,9,13,2,10,0,4,1,15024,0,45,39
66,5,179951,9,13,2,4,0,4,1,0,0,70,39
24,4,142022,15,10,4,6,3,4,1,0,0,50,39
41,4,168293,12,14,0,4,4,4,0,0,0,45,39
