Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
3,0,31.0,1,1,423,20.525,-1,2
1,0,38.0,0,0,610,227.525,66,0
1,1,25.0,1,0,58,55.4417,131,0
1,1,47.0,0,0,6,38.5,133,2
1,1,47.0,0,0,496,25.5875,132,2
1,0,52.0,1,0,454,78.2667,96,0
3,1,20.0,0,0,266,8.6625,-1,2
3,1,21.0,0,0,401,7.7958,-1,2
1,1,23.0,0,1,612,63.3583,91,0
3,1,39.0,0,0,519,24.15,-1,2
3,1,12.0,1,0,186,11.2417,-1,0
3,0,17.0,4,2,248,7.925,-1,2
1,1,80.0,0,0,218,30.0,5,2
3,0,30.0,0,0,432,12.475,-1,2
3,1,22.0,0,0,171,7.225,-1,0
3,1,32.0,0,0,661,7.925,-1,2
2,1,70.0,0,0,550,10.5,-1,2
1,0,58.0,0,0,38,26.55,49,2
2,1,36.0,0,0,635,12.875,90,0
2,1,34.0,0,0,152,13.0,111,2
3,1,35.0,0,0,431,8.05,-1,2
1,1,35.0,0,0,579,26.2875,120,2
3,1,15.0,1,1,214,7.2292,-1,0
3,1,36.0,0,0,386,7.8958,-1,2
3,0,18.0,0,0,439,6.75,-1,1
1,1,28.0,1,0,600,82.1708,-1,0
2,0,57.0,0,0,619,10.5,136,2
3,0,27.0,0,1,486,12.475,118,2
2,0,4.0,2,1,114,39.0,144,2
2,1,42.0,0,0,147,13.0,-1,2
3,1,40.0,0,0,172,7.225,-1,0
1,1,50.0,2,0,605,133.65,-1,2
1,1,71.0,0,0,607,34.6542,12,0
3,1,18.0,0,0,530,8.05,-1,2
2,0,36.0,0,0,229,13.0,90,2
3,1,22.0,0,0,274,8.05,-1,2
3,0,14.0,0,0,413,7.8542,-1,2
3,1,1.0,4,1,249,39.6875,-1,2
3,1,38.0,0,0,388,7.8958,-1,2
3,1,36.0,1,1,307,24.15,-1,2
1,1,61.0,0,0,455,32.3208,110,2
2,1,24.0,0,0,120,13.0,-1,2
3,1,27.0,0,0,405,7.7958,-1,2
3,0,30.0,0,0,260,8.6625,-1,2
3,0,18.0,1,0,377,17.8,-1,2
3,0,24.0,0,0,376,8.85,-1,2
3,1,32.0,0,0,415,7.8542,-1,2
1,0,17.0,1,0,89,57.0,19,2
3,1,7.0,4,1,249,39.6875,-1,2
1,1,27.0,1,0,51,53.1,137,2
2,1,18.0,0,0,125,13.0,-1,2
2,1,28.0,0,0,103,13.5,-1,2
2,1,28.0,0,0,159,13.0,-1,2
3,1,6.0,0,1,486,12.475,118,2
3,1,34.0,0,0,424,8.05,-1,2
1,1,46.0,0,0,592,79.2,44,0
3,0,47.0,1,0,537,14.5,-1,2
3,1,19.0,0,0,348,7.65,140,2
3,0,14.5,1,0,193,14.4542,-1,0
2,1,30.0,0,0,163,13.0,-1,2
2,1,25.0,1,0,127,26.0,-1,2
2,1,1.0,0,2,618,37.0042,-1,0
2,1,37.0,1,0,626,26.0,-1,2
3,0,6.0,4,2,333,31.275,-1,2
2,1,23.0,0,0,119,13.0,-1,2
2,0,3.0,1,2,634,41.5792,-1,0
1,1,24.0,0,1,585,247.5208,36,0
1,1,36.0,0,0,578,26.3875,121,2
2,0,30.0,0,0,165,13.0,-1,2
3,1,28.0,0,0,382,7.8958,-1,2
3,1,22.0,0,0,411,7.5208,-1,2
3,1,22.0,0,0,353,7.8958,-1,2
2,1,25.0,0,0,552,13.0,-1,2
2,0,41.0,0,1,162,19.5,-1,2
3,1,9.0,4,2,329,31.3875,-1,2
2,1,33.0,0,0,636,12.275,-1,2
2,0,22.0,1,1,158,29.0,-1,2
3,1,25.0,0,0,200,7.225,-1,0
1,1,42.0,0,0,580,26.2875,120,2
1,1,65.0,0,1,29,61.9792,23,0
1,0,21.0,2,2,602,262.375,35,0
3,1,20.0,0,0,500,9.225,-1,2
