Gender,Age,EstimatedSalary
1,39,96000
0,26,84000
1,47,43000
0,47,107000
0,34,43000
0,59,42000
0,33,60000
0,35,147000
0,31,68000
0,52,90000
0,31,34000
0,28,84000
1,19,76000
1,36,125000
0,59,76000
1,35,61000
1,58,144000
0,22,63000
0,35,44000
0,36,126000
0,47,50000
0,51,146000
0,21,16000
1,35,108000
1,42,73000
0,33,69000
0,55,125000
0,58,101000
1,48,74000
0,27,84000
1,54,70000
1,21,72000
1,39,42000
0,23,66000
1,46,79000
1,26,15000
0,53,34000
1,41,52000
1,26,30000
1,38,71000
1,43,129000
0,45,131000
0,54,104000
0,27,96000
1,29,80000
0,49,36000
1,39,122000
0,48,134000
1,59,143000
0,53,143000
1,46,28000
0,36,54000
1,59,130000
0,33,41000
0,41,30000
0,52,38000
0,27,54000
0,43,112000
0,48,96000
0,55,130000
0,45,22000
0,44,139000
0,47,47000
0,36,75000
1,53,72000
0,37,62000
0,48,138000
0,42,75000
0,28,87000
0,49,141000
