Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
3,0,45.0,0,0,326,7.75,-1,2
2,1,28.0,0,0,159,13.0,-1,2
2,1,34.0,0,0,164,13.0,-1,2
1,0,44.0,0,1,7,57.9792,17,0
3,1,32.0,0,0,511,8.3625,-1,2
2,0,27.0,0,0,293,10.5,116,2
2,0,29.0,0,0,553,10.5,142,2
2,1,36.0,0,0,112,13.0,-1,2
2,1,37.0,1,0,626,26.0,-1,2
3,1,32.0,0,0,80,56.4958,-1,2
1,1,40.0,0,0,17,31.0,8,0
3,1,19.0,0,0,373,7.8958,-1,2
2,0,17.0,0,0,637,10.5,-1,2
2,0,8.0,0,2,556,26.25,-1,2
1,0,22.0,0,0,37,151.55,-1,2
1,1,35.0,0,0,579,26.2875,120,2
3,1,17.0,1,0,408,7.0542,-1,2
3,1,24.0,0,0,541,7.1417,-1,2
2,0,40.0,0,0,257,13.0,-1,2
1,1,51.0,0,0,23,26.55,119,2
2,1,8.0,1,1,558,36.75,-1,2
3,1,29.0,0,0,322,7.775,-1,2
3,1,17.0,0,0,264,8.6625,-1,2
1,0,23.0,3,2,95,263.0,63,2
3,1,51.0,0,0,345,7.0542,-1,2
1,1,52.0,1,1,1,79.65,134,2
3,1,18.0,0,0,397,7.775,-1,2
3,1,36.0,1,1,307,24.15,-1,2
3,0,39.0,0,5,480,29.125,-1,1
1,1,58.0,0,2,416,113.275,108,0
3,1,28.5,0,0,495,16.1,-1,2
3,1,20.0,0,0,535,8.05,-1,2
3,1,27.0,0,0,405,7.7958,-1,2
3,1,39.0,0,0,663,7.925,-1,2
2,1,36.0,1,2,561,27.75,-1,2
